"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3220000","20050225","퍼피즌동물병원","0000","정상","서울특별시 강남구 삼성동 35번지 32호 대영빌딩 1층 ","","","","","","","02-541-2651","0.00","","","0","0","","","",""
"3220000","20040923","윤신근박사애견종합병원","0002","폐업","서울특별시 강남구 대치동 1023번지 7   호  ","","","20070611","","","","02-3453-7582","0.00","","","0","0","","","",""
"3220000","20041105","쿨 펫 동물병원 강남점","0002","폐업","서울특별시 강남구 대치동 937번지 롯데백화점 1층 ","","","20041231","","","","02-538-6121","0.00","","","0","0","","","",""
"3220000","20050920","우리들동물병원","0002","폐업","서울특별시 강남구 압구정동 369번지 1   호 현대2상가 109호 ","","","20060110","","","","02-517-7775","0.00","","","0","0","","","",""
"3220000","20050921","청담우리동물병원","0002","폐업","서울특별시 강남구 삼성동 52번지 송전빌딩 108호 ","","","20140124","","","","02-541-7515","0.00","","","0","0","","","",""
"3220000","20041213","햇살가득 동물병원","0002","폐업","서울특별시 강남구 논현동 96번지 9   호  ","","","20080925","","","","02-516-0275","0.00","","","0","0","","","",""
"3220000","20051107","그레이스동물병원","0002","폐업","서울특별시 강남구 논현동 122번지 20호  ","","","20100310","","","","02-3442-5554","0.00","","","0","0","","","",""
"3220000","20050124","(주)동물의료영상쎈타","0002","폐업","서울특별시 강남구 포이동 231번지 6   호 민빌딩 2층 ","","","20060303","","","","","0.00","","","0","0","","","",""
"3220000","20060119","우리들동물병원","0002","폐업","서울특별시 강남구 압구정동 369번지 1호 현대2상가 109호 ","","","20060627","","","","02-517-7775","0.00","","","0","0","","","",""
"3220000","20060227","영동동물병원","0002","폐업","서울특별시 강남구 논현동 142번지 3호  ","","","20120813","","","","02-518-7500","0.00","","","0","0","","","",""
"3220000","20060904","아프리카동물병원","0002","폐업","서울특별시 강남구 삼성동 103번지 10호  ","","","20110223","","","","","17.92","근생","철근콘크리트","0","1","일반주거지역","","",""
"3220000","20060908","24시양재동물병원","0002","폐업","서울특별시 강남구 도곡동 949번지 2호 도곡푸르지오 102동 103호 ","","","20131127","","","","579-2474","49.59","근생(소매점)","청근콘크리트","0","14","","","",""
"3220000","20060929","중앙동물메디컬센타","0002","폐업","서울특별시 강남구 논현동 277번지 21호 미래빌딩 1 2층 ","","","20110727","","","","","388.60","","철근콘크리트","0","0","","","",""
"3220000","20061009","안세동물병원","0002","폐업","서울특별시 강남구 논현동 277번지 36호  ","","","20101109","","","","544-5042","9053.00","근생","철근콘크리트","3","15","일반상업지역","","",""
"3220000","20020117","닥터펫동물의료센타","0002","폐업","서울특별시 강남구 삼성동 35번지 3호  ","","","20090731","","","","542-9273","0.00","","","0","0","","","",""
"3220000","20030102","파랑새청담종합동물병원","0002","폐업","서울특별시 강남구 청담동 125번지 19호  ","","","20080930","","","","544-1672","0.00","","","0","0","","","",""
"3220000","20050725","다솜동물병원","0002","폐업","서울특별시 강남구 청담동 124번지 4   호 101호 ","","","20080108","","","","02-629-4819","0.00","","","0","0","","","",""
"3220000","20020422","프로동물병원","0002","폐업","서울특별시 강남구 대치동 987번지  ","","","20050127","","","","","87.30","","","0","0","","","",""
"3220000","20020603","큐빌론동물병원","0002","폐업","서울특별시 강남구 역삼동 751번지 7   호  ","","","20130522","","","","","103.09","","","0","0","","","",""
"3220000","20030311","바우앤뮤동물병원","0002","폐업","서울특별시 강남구 대치동 922번지 25  호 302호 ","","","20031007","","","","","120.00","","","0","0","","","",""
