,업소명,사업장소재지(지번),전화번호,영업상태,lat,lng
20,길종합동물병원,서울특별시 강동구 길동 151번지  ,484-0075,정상,37.5350396,127.1441442
50,CH동물병원,서울특별시 강동구 천호동 233번지 145호 19통 4반  ,488-7510,정상,37.5485926,127.1366378
51,강동동물병원,서울특별시 강동구 길동 336번지 4호  ,472-7343,정상,37.5423301,127.1419222
53,가나동물병원,서울특별시 강동구 암사동 451번지 12호 5통 8반  ,441-8588,정상,37.5553905,127.1365651
60,사랑이있는동물병원,서울특별시 강동구 명일동  ,426-0292,정상,37.5502209,127.1500409
70,피카소동물병원,서울특별시 강동구 명일동 289번지 15호  ,3427-6419,정상,37.5502138,127.1467061
77,GD동물병원,서울특별시 강동구 상일동 341번지 2호  ,429-8822,정상,37.5482102,127.1730939
78,Dr.주 동물병원,서울특별시 강동구 둔촌동 517번지 4호  ,02 470 0030,정상,37.5287599,127.1371787
82,세종동물병원,서울특별시 강동구 천호동 397번지 27호 24통 1반  ,484-8414,정상,37.5420483,127.1306276
84,마리스동물의료센터,서울특별시 강동구 암사동 462번지 3호  ,02-442-8287,정상,37.5540272,127.1292084
85,닥터표동물병원,서울특별시 강동구 성내동 322번지 7호 1층 ,02-484-4063,정상,37.5316556,127.1212464
86,박형우동물병원,서울특별시 강동구 성내동 321번지 1호  ,02-488-8275,정상,37.5314991,127.1212845
87,고덕 고래힐동물병원,서울특별시 강동구 고덕동 688번지 래미안힐스테이트고덕 상가 2층 212213호 ,02-441-5515,정상,37.5739861,127.1628048
88,돌봄동물병원,서울특별시 강동구 암사동 414번지 18호  ,02-426-2775,정상,37.5552152,127.1403292
89,안단테 동물병원,서울특별시 강동구 천호동 30번지 5호  ,02-476-7582,정상,37.5485366,127.143303
91,양지가축동물병원,서울특별시 강동구 길동 402번지 10호  102호 ,02-478-2208,정상,37.5353564,127.1444722
94,동물병원 공감,서울특별시 강동구 천호동 25번지 6호 조희빌딩 ,02-484-7975,정상,37.5492368,127.1434387
95,위즈펫동물병원 강동점,서울특별시 강동구 천호동 42번지 천호복합 상업시설 ,024887524,정상,37.538289,127.1233835
98,방주동물의료센터,서울특별시 강동구 성내동 449번지 13호  ,02-476-3927,정상,37.5224484,127.1336562
99,가람동물병원,서울특별시 강동구 성내동 550번지 2호 예원빌딩 ,02-484-5502,정상,37.52907769999999,127.1242702
100,강동24시 SKY 동물의료센터,서울특별시 강동구 성내동 244번지 2호  ,02-472-7579,정상,37.53429879999999,127.1359586
101,아프리카동물병원,서울특별시 강동구 강일동 679번지 2호 MIDC빌딩 ,02-426-7722,정상,37.5626796,127.1742333
103,올바른동물병원,서울특별시 강동구 암사동 503번지 23호  ,02-428-1661,정상,37.55150769999999,127.1277099
