,업소명,사업장소재지(지번),전화번호,영업상태,lat,lng
10,사랑의 동물병원,서울특별시 강북구 미아동 1353번지 5호 에스케이북한산시티 상가동 2동 209호 ,02-983-8575,정상,37.6173087,127.012633
14,위즈동물병원,서울특별시 강북구 미아동 197번지 9호  ,02-987-7959,정상,37.6266854,127.0262534
15,대형동물병원,서울특별시 강북구 수유동 278번지 3호  ,998-1785,정상,37.6479425,127.0146497
16,창문동물병원,서울특별시 강북구 미아동 48번지 24호  ,02-988-0251,정상,37.6263348,127.0295207
19,24시 수유 바른펫 동물의료센터,서울특별시 강북구 수유동 39번지 10호 1 2층 ,02-903-7582,정상,37.6484649,127.0111764
20,동물병원 위드,서울특별시 강북구 수유동 47번지 69호  ,907-1565,정상,37.6347643,127.0225859
21,중앙동물병원,서울특별시 강북구 미아동 98번지 39호  ,982-8698,정상,37.6265877,127.0321173
22,H 동물병원,서울특별시 강북구 미아동 811번지 9호 위브테라스파크 207호 ,02-984-7588,정상,37.6142123,127.0340232
23,사랑동물병원,서울특별시 강북구 수유동 319번지 12호 삼흥연립 ,991-4304,정상,37.628224,127.01357
24,초이스동물병원,서울특별시 강북구 수유동 340번지 2호  ,02-993-8266,정상,37.6433804,127.0157037
25,삼성동물병원,서울특별시 강북구 미아동 813번지 지층 1-2 1-3호 110동 ,980-2340,정상,37.6142301,127.0208782
26,호 동물병원,서울특별시 강북구 미아동 1318번지  ,988-6543,정상,37.6119461,127.0354377
27,쿠키동물병원,서울특별시 강북구 미아동 812번지 래미안트리베라 201동 116호 ,02-985-7598,정상,37.6186506,127.0204765
28,애니케어 동물병원 수유점,서울특별시 강북구 수유동 279번지 290호  ,996-1007,정상,37.647723,127.0142549
29,삼양동물병원,서울특별시 강북구 미아동 703번지 56호  ,989-9552,정상,37.62023550000001,127.020548
30,동물을사랑하는사람들,서울특별시 강북구 번동 471번지 1호  ,990-7588,정상,37.6408619,127.0326834
31,강북동물병원,서울특별시 강북구 번동 309번지 덕수빌딩 1층 ,985-7525,정상,37.6288338,127.0398784
32,보노보노동물병원,서울특별시 강북구 수유동 472번지 268호 예향교회 1층 ,903-5525,정상,37.6334284,127.0177384
33,현대종합동물병원,서울특별시 강북구 수유동 252번지 199호  ,999-9110,정상,37.6437387,127.023036
34,솔샘동물병원,서울특별시 강북구 미아동 860번지 98호  2층203호 ,988-7582,정상,37.6136387,127.030986
35,봉식동물병원,서울특별시 강북구 미아동 777번지 3호  ,02-983-7000,정상,37.6262881,127.0199508
36,스마트 동물병원,서울특별시 강북구 미아동 839번지 223호 1층 ,02-987-7588,정상,37.62105750000001,127.0148506
38,24시루시드동물메디컬센터,서울특별시 강북구 미아동 42번지 11호 덕신빌딩 4층 ,02-941-7900,정상,37.6095305,127.0306021
