,업소명,사업장소재지(지번),전화번호,영업상태,lat,lng
4,우장동물병원,서울특별시 강서구 화곡동 904번지 8통 8반 목동신시가지아파트 405동 805호 ,2602-7582,정상,37.5370192,126.8735297
5,하나동물병원,서울특별시 강서구 방화동 53번지 273호  ,2666-6075,정상,37.5742936,126.8112859
7,세명 동물병원,서울특별시 강서구 화곡동 134번지 8통 3반 공원아파트 507호 ,02-2604-3584,정상,37.5434361,126.844772
8,시온동물병원,서울특별시 강서구 화곡동 46번지 236호  ,2692-9290,정상,37.5451955,126.8473136
15,한마음동물병원,서울특별시 강서구 화곡동 27통 5반 동양아파트 108동 2406호 ,02-2692-8275,정상,37.5402352,126.8379028
17,쿨펫 동물병원,서울특별시 강서구 가양동 720번지 31통 10반 주공아파트 615동 1105호 ,02-3665-7588,정상,37.5632621,126.8293778
19,강서YD동물의료센터,서울특별시 강서구 등촌동 658번지 4호  ,02-518-7500,정상,37.5569117,126.8522274
20,오즈동물병원,서울특별시 강서구 내발산동 722번지 15호  ,02-2697-0052,정상,37.5480366,126.8345704
21,염창제일동물병원,서울특별시 강서구 염창동 244번지 26호  ,3665-7582,정상,37.5530746,126.8697331
28,고득영동물병원,서울특별시 강서구 화곡동 861번지 8호 9통 2반  ,2608-0973,정상,37.531498,126.8550031
29,강서동물병원,서울특별시 강서구 화곡동 421번지 23호  ,2691-5900,정상,37.5321839,126.8395125
34,대한동물병원,서울특별시 강서구 화곡동 1059번지 51호  ,2694-4821,정상,37.5438546,126.8431508
38,24시아프리카동물메디컬센터,서울특별시 강서구 등촌동 24통 7반 우장산롯데캐슬 307동 1003호 ,3665-7975,정상,37.5555061,126.8485936
40,와우동물병원,서울특별시 강서구 방화동 585번지 1호 24통 8반 대우아파트 204동 306호 ,2666-0370,정상,37.5677396,126.8095857
45,도그플러스 동물병원,서울특별시 강서구 등촌동 1102번지 19호 5통 8반 진성빌라 1동 302호 ,3662-3533,정상,37.558653,126.8532512
46,호서동물의료센터,서울특별시 강서구 등촌동 42번지 23호  ,3662-1870,정상,37.5619425,126.8530138
52,가양쿨펫동물병원,서울특별시 강서구 가양동 17번지 4통 10반 파크리오 119동 403호 ,3665-1838,정상,37.5725064,126.840035
53,스마일동물병원,서울특별시 강서구 내발산동 1139번지 16통 3반 초록아파트 107동 702호 ,02-2667-5666,정상,37.5457014,126.8338453
57,송정동물메디컬센터,서울특별시 강서구 공항동 28번지 10호  ,26610530,정상,37.5615082,126.8116509
60,서울플러스종합동물병원,서울특별시 강서구 화곡동 772번지 71호 신진통상빌딩 ,2652-7515,정상,37.5347866,126.8632594
62,고려종합동물병원,서울특별시 강서구 가양동 1480번지 5호  ,02-3661-8200,정상,37.5625848,126.8529938
63,우리아이동물메디컬센터,서울특별시 강서구 내발산동 646번지  ,02-3664-0075,정상,37.5581556,126.839103
66,젠틀리동물병원,서울특별시 강서구 마곡동 18통 1반 화곡푸르지오 114동 902호 ,02-2662-8111,정상,37.52994229999999,126.8461523
68,마곡나무 동물병원,서울특별시 강서구 마곡동 747번지  1014동 103호 ,2661-7515,정상,37.560233,126.819497
69,파스텔동물병원,서울특별시 강서구 화곡동 1070번지 1호  ,02-2693-0075,정상,37.5397341,126.8344371
70,공감동물병원,서울특별시 강서구 마곡동 751번지  ,2666-0829,정상,37.5764888,126.8307466
71,하트온동물병원,서울특별시 강서구 화곡동 796번지 1호 피앤와이빌딩 3호 ,2644-5975,정상,37.53193890000001,126.8617396
72,세인트동물병원,서울특별시 강서구 화곡동 345번지 9호 12통 7반  2층동 202호 ,2695-0072,정상,37.5304681,126.8438079
73,박동물병원,서울특별시 강서구 내발산동 702번지 4호  106호 ,3665-5982,정상,37.5523616,126.8365933
75,서서울동물병원,서울특별시 강서구 염창동 265번지 23호  910호 ,3662-8661,정상,37.5512282,126.8711315
76,미래동물병원,서울특별시 강서구 화곡동 425번지 1호 8통 6반 청구빌라 301호 ,2608-0234,정상,37.5304369,126.8405296
77,SKY동물병원,서울특별시 강서구 방화동 259번지 23통 8반 대림아파트 208동 801호 ,2666-5667,정상,37.5637354,126.8102946
78,굿모닝동물병원,서울특별시 강서구 방화동 1265번지 24통 4반 숲속마을 402동 502호 ,2665-8256,정상,37.5764563,126.813873
79,참동물병원,서울특별시 강서구 마곡동 743번지 4호 마곡엠밸리7단지 ,2666-7990,정상,37.5654118,126.8219803
80,올스타동물의료센터,서울특별시 강서구 화곡동 371번지 32호  ,2065-7582,정상,37.5369219,126.8379048
81,강서달빛동물병원,서울특별시 강서구 내발산동 678번지 4호  ,2664-8275,정상,37.5536874,126.8363532
83,마곡숲동물병원,서울특별시 강서구 마곡동 776번지 4호 엠코지니어스타 ,02-3662-5675,정상,37.5764888,126.8307466
84,미소동물의료센터,서울특별시 강서구 화곡동 29통 3반 한화 유로메트로 102동 1501호 ,02-2603-0075,정상,37.5342655,126.8475464
85,보다듬 동물병원,서울특별시 강서구 내발산동 750번지 202호  ,02-2666-2611,정상,37.5534272,126.8264511
86,용봉동물병원,서울특별시 강서구 화곡동 349번지 23호 21통 2반  ,2603-0781,정상,37.5331675,126.8440739
88,황하동물병원,서울특별시 강서구 방화동  ,2664-7773,정상,37.5764563,126.813873
89,푸른들동물병원,서울특별시 강서구 염창동 246번지 11호  ,26991222,정상,37.5521584,126.8707881
90,화곡동물병원,서울특별시 강서구 화곡동 13통 3반 주공아파트 203동 1901호 ,02-2602-0507,정상,37.5494861,126.8527611
91,해맑은동물병원,서울특별시 강서구 가양동 1480번지 5호 10통 7반 이스타빌1 502호 ,3663-7584,정상,37.5625886,126.8529818
