"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3200000","19960209","관악동물병원","0002","폐업","서울특별시 관악구 봉천동 1665번지 4   호  ","","","20030226","","","","883-2733","150.00","","","0","0","","","",""
"3200000","20000317","한빛동물병원","0002","폐업","서울특별시 관악구 봉천동 1638번지 24  호  ","","","20040112","","","","875-7582","17.01","","","0","0","","","",""
"3200000","20011114","나은동물종합병원","0002","폐업","서울특별시 관악구 봉천동 34번지 51  호  ","","","20040922","","","","882-9991","34.20","","","0","0","","","",""
"3200000","20030122","나눔동물병원","0002","폐업","서울특별시 관악구 신림동 513번지 13  호  ","","","20061120","","","","839-7582","29.60","","","0","0","","","",""
"3200000","20030303","관악동물병원","0002","폐업","서울특별시 관악구 봉천동 1665번지 4호  ","","","20030410","","","","883-2733","76.86","","","0","0","","","",""
"3200000","20030411","관악동물종합병원","0002","폐업","서울특별시 관악구 봉천동 1665번지 4호  ","","","20090826","","","","883-2733","76.86","","","0","0","","","",""
"3200000","20110308","닥터킴 동물병원","0002","폐업","서울특별시 관악구 봉천동 498번지 7호 공원빌딩 ","","","20190604","","","","02-877-5546","0.00","","","0","0","","","",""
"3200000","20040226","낙성대동물병원","0002","폐업","서울특별시 관악구 봉천동 1686번지 14  호  ","","","20051007","","","","884-7040","32.00","","","0","0","","","",""
"3200000","20031114","해맑은동물병원","0002","폐업","서울특별시 관악구 봉천동 37번지 86  호  ","","","20070531","","","","872-7588","71.84","","","4","1","","","",""
"3200000","20031215","DR.차동물병원","0002","폐업","서울특별시 관악구 봉천동 956번지 1   호  ","","","20090410","","","","873-8400","74.26","","","0","0","","","",""
"3200000","20040106","난곡서울동물병원","0002","폐업","서울특별시 관악구 신림동 763번지 20  호  ","","","20050511","","","","866-0880","28.80","","","0","0","","","",""
"3200000","20040922","나은동물병원","0002","폐업","서울특별시 관악구 봉천동 34번지 51  호  ","","","20090225","","","","882-9991","0.00","","","0","0","","","",""
"3200000","20060208","쥬쥬종합동물병원","0002","폐업","서울특별시 관악구 봉천동 498번지 3   호  ","","","20070416","","","","874-0575","0.00","","","0","0","","","",""
