"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3160000","20070608","푸른동물병원","0000","정상","서울특별시 구로구 구로동 722번지 4호  ","","","","","","","861-0075","54.52","2종근린생활시설","","0","1","","","",""
"3160000","20060421","수 동물병원","0002","폐업","서울특별시 구로구 구로동 516번지 14호  ","","","20101013","","","","859-7582","43.80","","","0","0","","","",""
"3160000","20060822","캐슬동물종합병원","0002","폐업","서울특별시 구로구 고척동 333번지 하이리빙(아)상가 103호 ","","","20170706","","","","2060-0999","0.00","","","0","0","","","",""
"3160000","20060127","캐슬동물종합병원","0002","폐업","서울특별시 구로구 고척동 333번지 하이리빙아파트 상가 103호 ","","","20060818","","","","2060-0999","0.00","","","0","0","","","",""
"3160000","20040930","명24시동물병원","0002","폐업","서울특별시 구로구 고척동 329번지 청솔우성(아) 1층107호 ","","","20050607","","","","2617-5101","0.00","","","0","0","","","",""
"3160000","20050630","우리동물종합병원","0002","폐업","서울특별시 구로구 고척동 333번지 하이리빙아파트상가 1층 3호 ","","","20060109","","","","2060-0999","0.00","근리생활시설","","0","0","","","",""
"3160000","19931220","사랑동물병원","0000","정상","서울특별시 구로구 구로동 152번지 6호  ","","","","","","","851-1368","24.50","","","0","0","","","",""
"3160000","19901228","케이나인동물병원구로점","0002","폐업","서울특별시 구로구 개봉동 170번지 33  호  ","","","20040903","","","","2616-9119","35.88","","","0","0","","","",""
"3160000","20000821","갤러리아동물병원","0002","폐업","서울특별시 구로구 가리봉동 88번지 3   호  ","","","20081222","","","","853-5643","21.70","","","0","0","","","",""
"3160000","20030103","우리동물종합병원","0002","폐업","서울특별시 구로구 고척동 333번지 하이리빙(아)1층3호 ","","","20050614","","","","2060-0999","122.18","","","0","0","","","",""
"3160000","20140124","24시 명동물병원","0002","폐업","서울특별시 구로구 개봉동 62번지 9호 2층 ","","","20140827","","","","02-2619-5102","","","","","","","","",""
"3160000","20031220","토토동물병원","0002","폐업","서울특별시 구로구 신도림동 648번지 대림6차상가 109 ","","","20120321","","","","6346-0075","0.00","근린생활시설","","0","0","","","",""
"3160000","20071227","쿨펫동물병원","0002","폐업","서울특별시 구로구 신도림동 337번지 홈에버 신도림점 지하2층 ","","","20110601","","","","","0.00","판매시설","","0","0","","","",""
"3160000","20080215","쿨펫동물병원(2001아울렛구로점)","0002","폐업","서울특별시 구로구 고척동 76번지 41  호 2001아울렛구로점 5층 ","","","20080828","","","","","0.00","","","7","5","","","",""
"3160000","20071119","쿨펫동물병원고척점","0002","폐업","서울특별시 구로구 고척동 76번지 41호 2001아울렛 5층 ","","","20080212","","","","","65.00","판매시설","","6","5","","","",""
"3160000","20080902","쿨펫동물병원(2001아울렛 구로점)","0002","폐업","서울특별시 구로구 고척동 76번지 41  호  ","","","20090331","","","","","0.00","판매시설","","0","7","","","",""
"3160000","20151203","마음동물병원","0000","정상","서울특별시 구로구 궁동 286번지 동광빌라 ","","","","","","","2611-5223","0.00","","","","","","","",""
"3160000","20090413","쿨펫동물병원","0002","폐업","서울특별시 구로구 구로동 501번지 나인스에비뉴 지하1층 커뮤니티죤 ","","","20110311","","","","6678-8775","0.00","","","0","0","","","",""
"3160000","20110330","쿨펫동물병원","0002","폐업","서울특별시 구로구 구로동 501번지 나인스에비뉴 지하1층 커뮤니티죤 ","","","20121128","","","","6678-8775","0.00","","","0","0","","","",""
"3160000","20040406","24시 명 동물병원","0002","폐업","서울특별시 구로구 개봉동 62번지 9호  ","","","20140124","","","","2619-5102","0.00","","","1","2","","","",""
"3160000","20070705","해원종합동물병원","0002","폐업","서울특별시 구로구 구로동 642번지 108호 해원리버파크 105호 ","","","20180608","","","","855-7525","33.17","2종근린생활시설","","0","0","","","",""
"3160000","20010404","가교25시동물병원","0002","폐업","서울특별시 구로구 구로동 413번지 80  호  ","","","20040112","","","","868-7585","27.97","","","0","0","","","",""
"3160000","20040827","대한동물종합병원","0002","폐업","서울특별시 구로구 구로동 1127번지 27  호  ","","","20050217","","","","","0.00","","","0","0","","","",""
"3160000","20041105","구로종합동물병원","0002","폐업","서울특별시 구로구 구로동 413번지 80호  ","","","20071120","","","","868-7585","0.00","근린생활시설및 점포","","0","0","","","",""
"3160000","20040316","구일동물병원","0002","폐업","서울특별시 구로구 구로동 685번지 124호 중앙하이츠상가 118호 ","","","20160627","","","","868-9192","0.00","","","0","0","","","",""
"3160000","20050604","쿨펫동물병원","0002","폐업","서울특별시 구로구 구로동 636번지 89호 롯데마트구로점 ","","","20190610","","","","2631-3263","0.00","","","0","0","","","",""
"3160000","20140508","북극곰동물병원","0002","폐업","서울특별시 구로구 궁동 286번지  ","","","20151130","","","","028685477","","","","","","","","",""
"3160000","20121211","벨라동물병원","0000","정상","서울특별시 구로구 구로동 501번지 12호 진명빌딩 ","","","","","","","859-8775","72.60","","제1종근린생활시설","1","","","","",""
"3160000","20160229","허브동물병원","0000","정상","서울특별시 구로구 구로동 650번지 4호 SK허브수 B동 205호 ","","","","","","","0267347500","0.00","","","","","","","",""
"3160000","20151027","드림동물병원","0002","폐업","    ","","","20180409","","","","023666-0204","","","","","","","","",""
"3160000","20010522","케이나인종합동물병원","0000","정상","서울특별시 구로구 개봉동 403번지 143호  ","","","","","","","2686-3939","102.20","","","0","0","","","",""
"3160000","20030121","신도림동물병원","0000","정상","서울특별시 구로구 신도림동 337번지 신도림1차푸르지오 101동 139호 ","","","","","","","2636-3992","0.00","2종근린생활시설","","0","1","","","",""
"3160000","20140303","안정택동물병원","0000","정상","서울특별시 구로구 오류동 353번지 1호 골드프라자 201호 ","","","","","","","","69.60","제2종근린생활시설(동물병원)","","","2","","","",""
"3160000","20180411","드림동물병원","0000","정상","서울특별시 구로구 고척동 343번지 고척 월드메르디앙 109동 5호 ","","","","","","","0236660204","0.00","","","","","","","",""
"3160000","20110607","아이러브펫동물병원(신도림점)","0000","정상","서울특별시 구로구 신도림동 337번지 홈플러스 신도림점 지하1층 ","","","","","","","3439-7533","0.00","","","","","","","",""
"3160000","20100317","구로종합동물병원","0000","정상","서울특별시 구로구 신도림동 432번지 1호 신도림에스케이뷰 101동 103호 104호 ","","","","","","","2631-0085","0.00","","","0","0","","","",""
"3160000","20040410","굿모닝 동물병원","0000","정상","서울특별시 구로구 개봉동 353번지 15호  ","","","","","","","2060-8673","0.00","","","0","0","","","",""
"3160000","19981118","금강종합동물병원","0000","정상","서울특별시 구로구 오류동 48번지 1호  ","","","","","","","2686-8008","14.00","","","0","0","","","",""
"3160000","20041124","한샘종합동물병원","0000","정상","서울특별시 구로구 개봉동 170번지 33호  ","","","","","","","2681-7585","0.00","","","0","0","","","",""
"3160000","20040316","해피동물병원","0000","정상","서울특별시 구로구 고척동 50번지 95호  ","","","","","","","2619-7533","0.00","","","0","0","","","",""
"3160000","19991209","24시 지구촌 동물메디컬 센터","0000","정상","서울특별시 구로구 구로동 505번지 17호 유성빌딩 ","","","","","","","869-7582","84.00","","","0","0","","","",""
"3160000","19990906","라라동물의료원","0000","정상","서울특별시 구로구 구로동 309번지 2호 지상1층 지하1층 ","","","","","","","839-7585","0.00","","","0","0","","","",""
"3160000","19831010","오류동물병원","0000","정상","서울특별시 구로구 오류동 33번지 40호 보광빌딩 ","","","","","","","2612-3232","24.96","","","0","0","","","",""
"3160000","19930319","개명동물병원","0000","정상","서울특별시 구로구 개봉동 403번지 138호  ","","","","","","","2619-0888","64.60","","","0","0","","","",""
"3160000","20110406","캥거루 동물병원","0000","정상","서울특별시 구로구 오류동 166번지 9호  ","","","","","","","2066-2579","0.00","","","0","0","","","",""
"3160000","19990128","개봉동물병원","0000","정상","서울특별시 구로구 고척동 265번지 4호 28통 8반  ","","","","","","","2615-5014","16.41","","","0","0","","","",""
"3160000","20140811","24시 명동물메디컬센터","0000","정상","서울특별시 구로구 개봉동 492번지 개봉푸르지오 ","","","","","","","2619-5102","0.00","","","","","","","",""
