"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3170000","20050225","벽산종합동물병원","0002","폐업","서울특별시 금천구 시흥동 271번지 18  호  ","","","20050225","","","","","0.00","","","0","0","","","",""
"3170000","20050616","벽산종합동물병원","0002","폐업","서울특별시 금천구 시흥동 271번지 18호  ","","","20060207","","","","02-804-9494","153.84","근린생활시설","세멘벽돌조","1","2","","","",""
"3170000","20060623","연종합동물병원","0002","폐업","서울특별시 금천구 가산동 152번지 6   호  ","","","20060623","","","","","0.00","","","0","0","","","",""
"3170000","20060809","법원단지동물병원","0002","폐업","서울특별시 금천구 시흥동 852번지 29호  ","","","20061010","","","","","0.00","근린생활시설","","0","0","","","",""
"3170000","20060116","법원단지동물병원","0002","폐업","서울특별시 금천구 시흥동 852번지 29호 (지상1층) ","","","20061010","","","","02)894-0915","13.08","근린생활시설","철근콘크리트","0","1","","주택 상가","4종",""
"3170000","20070405","시흥가축병원","0002","폐업","서울특별시 금천구 시흥동 882번지 54  호  ","","","20070405","","","","","0.00","","","0","0","","","",""
"3170000","20070409","쿨펫동물병원","0002","폐업","서울특별시 금천구 시흥동 992번지 47호  ","","","20161111","","","","893-7582","0.00","","","0","0","","","",""
"3170000","20070409","다사랑동물종합병원","0002","폐업","서울특별시 금천구 시흥동 986번지  ","","","20070702","","","","","0.00","","","0","0","","","",""
"3170000","20071109","도그플러스동물병원","0000","정상","서울특별시 금천구 독산동 291번지 7호  ","","","","","","","809-0075","0.00","","","0","0","","","",""
"3170000","20070405","금천동물병원","0000","정상","서울특별시 금천구 독산동 378번지 397호  ","","","","","","","894-8085","0.00","","","0","0","","","",""
"3170000","20070405","조정연동물병원","0000","정상","서울특별시 금천구 시흥동 838번지 33호  ","","","","","","","806-8355","0.00","","","0","0","","","",""
"3170000","20070405","그린동물병원","0000","정상","서울특별시 금천구 독산동 193번지 31호  ","","","","","","","856-4113","0.00","","","0","0","","","",""
"3170000","20070409","우리동물병원","0002","폐업","서울특별시 금천구 독산동 961번지  독산동 ","","","20131218","","","","853-7582","0.00","","","0","0","","","",""
"3170000","20030711","제일종합동물병원","0000","정상","서울특별시 금천구 시흥동 837번지 37호  ","","","","","","","894-3030","0.00","","","0","0","","","",""
"3170000","20131127","우리동물메디컬센터","0000","정상","서울특별시 금천구 독산동 950번지 3호  ","","","","","","","853-7582","378.00","","","","","","","",""
"3170000","20040901","아야야동물병원","0002","폐업","서울특별시 금천구 독산동 295번지 10호  ","","","20120426","","","","861-7511","0.00","","","0","0","","","",""
"3170000","20050525","은행나무종합동물병원","0000","정상","서울특별시 금천구 시흥동 909번지 5호  ","","","","","","","804-0975","143.00","근린생활시설","철근콘크리트","8","1","제1종근생","상가","4종",""
"3170000","20120622","쿨펫동물병원","0000","정상","서울특별시 금천구 독산동 102번지 12호 9통 9반  ","","","","","","","","0.00","","","","","","","",""
"3170000","20100225","보보스동물병원","0002","폐업","서울특별시 금천구 독산동 989번지  ","","","20120302","","","","070-8746-7582","0.00","","","0","0","","","",""
"3170000","20120305","러브펫동물병원","0002","폐업","서울특별시 금천구 독산동 989번지  ","","","20150306","","","","02-3281-7582","0.00","","","","1","","","",""
"3170000","20070405","파랑새동물병원","0000","정상","서울특별시 금천구 독산동 1077번지 31호  ","","","","","","","805-2825","0.00","","","0","0","","","",""
"3170000","20110729","러브펫동물병원","0002","폐업","서울특별시 금천구 독산동 989번지  ","","","20120302","","","","","0.00","","","0","0","","","",""
"3170000","20081017","노아동물병원","0000","정상","서울특별시 금천구 시흥동 262번지 6호  ","","","","","","","805-4758","0.00","","","0","0","","","",""
"3170000","20160608","독산온동물병원","0000","정상","서울특별시 금천구 독산동 1023번지 14호  ","","","","","","","","0.00","","","","","","","",""
"3170000","20160630","조아동물병원","0000","정상","서울특별시 금천구 독산동 1102번지 5호  ","","","","","","","028071616","","","","","","","","",""
"3170000","20170328","금천 24시 K동물의료센터","0000","정상","서울특별시 금천구 시흥동 999번지 1호  ","","","","","","","","129.60","","","","","","","",""
"3170000","20170327","24시 글로리 동물병원","0000","정상","서울특별시 금천구 독산동 145번지 13호  ","","","","","","","02-855-8575","152.50","","","","","","","",""
"3170000","20180410","더조은 동물의료센터","0000","정상","서울특별시 금천구 시흥동 904번지 6호 서우빌딩 ","","","","","","","802-2811","227.32","","","","","","","",""
