"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3100000","19960607","리치동물병원","0002","폐업","서울특별시 노원구 공릉동 398번지 5호  ","","","20150709","","","","971-7575","30.00","","","0","1","","","",""
"3100000","20021216","쿨펫동물병원","0002","폐업","서울특별시 노원구 중계동 361번지 1호 롯데마트 내 ","","","20120820","","","","952-7706","30.27","","","1","0","","","",""
"3100000","20050602","사랑동물병원","0002","폐업","서울특별시 노원구 공릉동 223번지 12호  ","","","20160330","","","","972-5575","42.00","","","0","0","","","",""
"3100000","19910820","노원동물병원","0002","폐업","서울특별시 노원구 상계동 169번지 31호  ","","","20101126","","","","","30.00","근생","철근콘크리트","0","0","","","",""
"3100000","19980711","25시동물병원","0000","정상","서울특별시 노원구 중계동 363번지 대림벽산상가 102호 ","","","","","","","935-0075","23.00","","","0","1","","","",""
"3100000","20010523","미래동물병원","0000","정상","서울특별시 노원구 공릉동 94번지 6호 13통 7반  301호 ","","","","","","","949-5975","49.00","","","0","1","","","",""
"3100000","20001223","화랑동물병원","0002","폐업","서울특별시 노원구 공릉동 653번지 10호  ","","","20060626","","","","","0.00","","","0","1","","","",""
"3100000","20041116","수락동물병원","0002","폐업","서울특별시 노원구 상계동 1023번지 1   호  ","","","20060410","","","","","29.05","","","0","1","","","",""
"3100000","20061212","시티펫종합동물병원","0002","폐업","서울특별시 노원구 상계동 374번지 2호  ","","","20130812","","","","","49.20","","","0","1","","","",""
"3100000","20070201","혜원동물병원","0002","폐업","서울특별시 노원구 공릉동 597번지 34호  ","","","20081106","","","","979-4490","61.75","","","0","1","","","",""
"3100000","20040915","시튼동물의료원","0002","폐업","서울특별시 노원구 공릉동 323번지 10호  ","","","20090613","","","","974-5875","41.44","","","0","2","","","",""
"3100000","20040924","로얄벳동물병원(월계점)","0002","폐업","서울특별시 노원구 월계동 331번지 1호 신세계이마트 2층 ","","","20111219","","","","949-0975","74.80","","","0","2","","","",""
"3100000","20090618","라라Q동물병원","0002","폐업","서울특별시 노원구 공릉동 345번지 7호  ","","","20140430","","","","974-5875","41.00","근린생활시설","","1","3","","","",""
"3100000","20030401","중계종합동물병원","0002","폐업","서울특별시 노원구 중계동 360번지 9호 두타빌A동111112호 ","","","20120521","","","","939-7579","51.75","","","0","1","","","",""
"3100000","19920707","한빛종합동물병원","0002","폐업","서울특별시 노원구 상계동 749번지 10호  ","","","20080508","","","","951-7582","112.00","근생","철근콘크리트","0","1","","","",""
"3100000","20111221","웰리스동물병원(월계점)","0002","폐업","서울특별시 노원구 월계동 333번지 1호  ","","","20140127","","","","949-0975","0.00","","판매시설","2","","","","",""
"3100000","20120319","노원24시N동물의료센터","0002","폐업","서울특별시 노원구 상계동 371번지 2호  ","","","20130716","","","","919-0075","0.00","근린생활시설","","","","","","",""
"3100000","20130417","e-동물병원","0002","폐업","서울특별시 노원구 월계동 435번지 10호  ","","","20140612","","","","943-2275","0.00","근린생활시설","","4","3","","","",""
"3100000","20031015","닥터펫동물병원(중계점)","0002","폐업","서울특별시 노원구 중계동 509번지 2   호 까르푸 중계점 1층 ","","","20040204","","","","","41.00","","","0","1","","","",""
"3100000","19891117","공릉동물병원","0002","폐업","서울특별시 노원구 공릉동 597번지 34호  ","","","20070130","","","","979-4490","60.00","근린생활시설","철근콘크리트","0","1","","","",""
"3100000","19951124","준동물병원","0002","폐업","서울특별시 노원구 상계동 140번지 111호  ","","","20080828","","","","","0.00","","","0","1","","","",""
"3100000","20020516","수락동물병원","0002","폐업","서울특별시 노원구 상계동 1023번지 1호  ","","","20041111","","","","","0.00","","","0","1","","","",""
"3100000","20021118","굿모닝동물병원","0002","폐업","서울특별시 노원구 상계동 651번지 상계주공11단지종합상가112호 ","","","20040212","","","","","0.00","","","0","1","","","",""
"3100000","20020218","동물나라동물병원","0002","폐업","서울특별시 노원구 중계동 360번지 2호 청구종합상가149호 ","","","20040227","","","","","0.00","","","0","0","","","",""
"3100000","19950705","LK동물병원","0002","폐업","서울특별시 노원구 중계동 359번지 15호 조은빌딩104호 ","","","20060124","","","","952-6426","24.84","","","0","1","","","",""
"3100000","20050729","수 동물병원","0000","정상","서울특별시 노원구 상계동 1265번지 동방미주(아)109-1001 ","","","","","","","930-7975","35.00","","","0","0","","","",""
"3100000","20130115","엔젤동물병원","0000","정상","서울특별시 노원구 공릉동 362번지 3호  ","","","","","","","977-0275","0.00","","","","","","","",""
"3100000","20000407","고려동물병원","0000","정상","서울특별시 노원구 상계동 79번지 145호 44통 4반  ","","","","","","","3391-0075","83.25","","","0","1","","","",""
"3100000","20150522","메인동물메디컬센터","0000","정상","서울특별시 노원구 공릉동 576번지 23호  ","","","","","","","","0.00","","","","","","","",""
"3100000","20160211","한국동물암센터","0000","정상","서울특별시 노원구 상계동 371번지 2호  ","","","","","","","02-932-0075","468.98","","","","","","","",""
"3100000","20100716","아란종합동물병원","0000","정상","서울특별시 노원구 월계동 3번지 94호 드림빌 201호 ","","","","","","","905-7588","0.00","근린생활시설","","1","4","","","",""
"3100000","20010613","우리들동물종합병원","0000","정상","서울특별시 노원구 중계동 512번지 시영2단지상가 116호 ","","","","","","","979-8275","60.00","","","0","1","","","",""
"3100000","20020924","이엠동물병원","0002","폐업","서울특별시 노원구 상계동 347번지 14통 7반 주공아파트 307동 201호 ","","","20160601","","","","","0.00","","","0","1","","","",""
