"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3090000","19990526","한빛동물병원","0000","정상","서울특별시 도봉구 창동 568번지 5호  ","","","","","","","992-0074","39.25","","","0","1","","","",""
"3090000","20000713","창동애견종합동물병원","0002","폐업","서울특별시 도봉구 창동 700번지 33호  ","","","20060131","","","","993-7581","117.80","","","0","1","","","",""
"3090000","20010810","두남자동물병원","0002","폐업","서울특별시 도봉구 방학동 724번지 7호  ","","","20031002","","","","955-8477","38.44","","","0","1","","","",""
"3090000","20030306","(주)모리아동물생명 아야야동물병원","0002","폐업","서울특별시 도봉구 도봉동 617번지 11호 1층 ","","","20050315","","","","956-3536","206.93","근린생활시설","라멘조","0","1","","","4종",""
"3090000","19850904","영풍동물병원","0002","폐업","서울특별시 도봉구 쌍문동 88번지 115호  ","","","20041110","","","","905-0577","22.57","","","0","1","","","",""
"3090000","20050805","세정동물병원","0002","폐업","서울특별시 도봉구 방학동 724번지 7호  ","","","20060110","","","","955-8477","46.50","","","0","1","","","",""
"3090000","20030701","사랑동물병원","0002","폐업","서울특별시 도봉구 방학동 707번지 7호 1층 ","","","20040901","","","","02-955-6530","60.27","판매및영업시설","철근콘크리트","7","2","","","",""
"3090000","20030828","수호천사동물병원","0002","폐업","서울특별시 도봉구 방학동 717번지 6호 1층 ","","","20040803","","","","02-3491-7514","12.44","","","0","0","","","",""
"3090000","20030919","온누리동물병원","0002","폐업","서울특별시 도봉구 쌍문동 262번지 10호 1층 ","","","20090618","","","","907-7512","39.55","","","0","0","","","",""
"3090000","20031202","동물을사랑하는사람들","0002","폐업","서울특별시 도봉구 방학동 718번지 7호 ESA아파트1단지 상가 112호 ","","","20041029","","","","3491-7588","33.70","","","0","0","","","",""
"3090000","20040114","참 동물병원","0002","폐업","서울특별시 도봉구 창동 338번지 신원리베르텔 107호 ","","","20060424","","","","993-7582","31.60","","","0","0","","","",""
"3090000","20040812","수호천사동물병원","0002","폐업","서울특별시 도봉구 방학동 717번지 6호 1층 ","","","20041230","","","","3493-7514","12.44","","","1","0","","","",""
"3090000","20040902","사랑동물병원","0002","폐업","서울특별시 도봉구 방학동 707번지 7호 1층 ","","","20060525","","","","955-6530","60.27","","","0","1","","","",""
"3090000","20050103","수호천사동물병원","0002","폐업","서울특별시 도봉구 방학동 717번지 6호 1층 ","","","20050414","","","","3493-7514","12.44","","","0","0","","","",""
"3090000","20050113","삼성동물종합병원","0000","정상","서울특별시 도봉구 쌍문동 88번지 115호 1층 ","","","","","","","902-7582","57.00","","","0","0","","","",""
"3090000","20070206","다현동물병원","0002","폐업","서울특별시 도봉구 창동 296번지 1호 타임프라자 107호 ","","","20080528","","","","991-3311","39.60","","","0","0","","","",""
"3090000","20070515","다빈치동물병원","0002","폐업","서울특별시 도봉구 창동 252번지 동아상가 1층 1012호 ","","","20120710","","","","903-8875","24.60","","","0","1","","","",""
"3090000","20010115","도담동물병원","0002","폐업","서울특별시 도봉구 도봉동 562번지 26호  ","","","20181031","","","","955-8400","80.00","","","0","1","","","",""
"3090000","20030509","동물병원 WITH","0002","폐업","서울특별시 도봉구 창동 715번지 12호 태진빌딩 1층 ","","","20190526","","","","907-1174~6","204.00","근린생활시설","철근콘크리트조","1","5","","","",""
"3090000","20120711","태현동물병원","0002","폐업","서울특별시 도봉구 방학동 662번지 35호  ","","","20161026","","","","02-6014-9947","22.77","","","","","","","",""
"3090000","20130313","365동물병원","0000","정상","서울특별시 도봉구 방학동 713번지 35호  ","","","","","","","02-6402-0365","","","","","","","","",""
"3090000","20031006","양현철동물병원","0002","폐업","서울특별시 도봉구 방학동 724번지 7호  ","","","20050805","","","","955-8477","46.50","","","0","0","","","",""
