"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3050000","20140527","하나동물병원","0000","정상","서울특별시 동대문구 휘경동 267번지 84호  ","","","","","","","02-6242-7500","0.00","","","","","","","",""
"3050000","20051025","디아크동물병원","0000","정상","서울특별시 동대문구 청량리동 400번지  ","","","","","","","02-960-7501","92.16","","","0","0","","","",""
"3050000","20060915","우리동물병원","0002","폐업","서울특별시 동대문구 장안동 216번지 6호  ","","","20070702","","","","2214-4858","27.81","근린생활","","0","0","","","",""
"3050000","20050104","태양종합동물병원","0002","폐업","서울특별시 동대문구 이문동 254번지 4호  ","","","20100217","","","","969-0075","33.30","","","0","0","","","",""
"3050000","20050818","애니펫동물병원","0002","폐업","서울특별시 동대문구 청량리동 520번지 44  호  ","","","20171117","","","","966-4475","79.50","","","0","0","","","",""
"3050000","20060626","우리동물병원","0002","폐업","서울특별시 동대문구 장안동 216번지 6   호  ","","","20060915","","","","2144-4858","0.00","근린생활시설","연와조 경량철골조","0","0","","","",""
"3050000","19660221","경동동물병원","0002","폐업","서울특별시 동대문구 답십리동 472번지 5   호  ","","","20060725","","","","2212-3075","25.00","","","0","0","","","",""
"3050000","19970509","박철환동물병원","0000","정상","서울특별시 동대문구 장안동 100번지 8호  ","","","","","","","02-2244-7479","60.83","","","0","0","","","",""
"3050000","20130326","제연동물병원","0000","정상","서울특별시 동대문구 전농동 652번지 1호  ","","","","","","","02-2242-7975","0.00","","","0","0","","","",""
"3050000","20130103","제이동물병원","0002","폐업","서울특별시 동대문구 용두동 100번지 5호 1층 ","","","20140522","","","","02-923-5291","25.79","","","","","","","",""
"3050000","19920313","홍릉동물병원","0002","폐업","서울특별시 동대문구 청량리동 376번지  ","","","20070706","","","","969-6550","21.30","","","0","0","","","",""
