"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3190000","20120118","나무동물병원","0000","정상","서울특별시 동작구 흑석동 335번지 1호  ","","","","","","","02-813-4567","30.80","제2종근생(동물병원)","철근콘크리트","1","5","","","vetyook@gmail.com",""
"3190000","20120620","흑석24시동물병원","0000","정상","서울특별시 동작구 흑석동 6번지 5호  ","","","","","","","02-822-0275","79.20","제2종근린생활시설(동물병원)","철근콘크리트조","1","4","","","",""
"3190000","20000408","성민동물병원","0002","폐업","서울특별시 동작구 사당동 1019번지 42  호  ","","","20031213","","","","581-2524","0.00","","","0","0","","","",""
"3190000","20001012","디아크동물종합병원","0002","폐업","서울특별시 동작구 노량진동 45번지 5   호  ","","","20020910","","","","816-7582","0.00","","","0","0","","","",""
"3190000","19640702","이승배수의과병원","0002","폐업","서울특별시 동작구 흑석동 109번지 1   호  ","","","20041105","","","","815-8815","0.00","","","0","0","","","4종",""
"3190000","19840411","야셀동물병원","0002","폐업","서울특별시 동작구 사당동 147번지 48호 화인빌딩 1층 ","","","20100531","","","","3472-1188","0.00","","","0","0","","","",""
"3190000","19940509","대신동물병원","0002","폐업","서울특별시 동작구 노량진동 312번지 43  호  ","","","20000224","","","","813-2187","0.00","","","0","0","","","",""
"3190000","19950222","김확수동물병원","0002","폐업","서울특별시 동작구 상도동 34번지 18  호  ","","","20120114","","","","823-7500","0.00","","","0","0","","","",""
"3190000","19990602","세진동물병원","0002","폐업","서울특별시 동작구 사당동 1001번지 17  호  ","","","20000515","","","","583-7572","0.00","","","0","0","","","",""
"3190000","20040420","쿠키동물병원","0002","폐업","서울특별시 동작구 대방동 501번지 대림쇼핑센타  204호 ","","","20090907","","","","821-3181","0.00","","","0","0","","","",""
