,업소명,사업장소재지(지번),전화번호,영업상태,lat,lng
0,마리동물병원,서울특별시 마포구 동교동 174번지 20호  ,02-323-7582,정상,37.5579266,126.928187
1,서진동물병원,서울특별시 마포구 동교동 185번지 22호  ,02-336-3929,정상,37.5564513,126.9322249
14,힐링 24시 동물병원,서울특별시 마포구 신공덕동 172번지 펜트라우스 105동B2-35gh ,02-713-8275,정상,37.5431552,126.9534998
20,용강동물병원,서울특별시 마포구 대흥동 337번지 41호  ,02-707-2340,정상,37.544793,126.9394491
44,공덕 건강한 동물병원,서울특별시 마포구 공덕동 256번지 13호 제일빌딩 108호 ,02-701-0705,정상,37.5446204,126.9526393
46,굿모닝 동물병원,서울특별시 마포구 염리동 164번지 4호  ,02-711-3375,정상,37.5447282,126.9459953
47,뉴욕종합동물병원,서울특별시 마포구 서교동 395번지 44호  ,02-333-9558,정상,37.5507158,126.9160622
49,닥터 호오 동물병원,서울특별시 마포구 용강동 494번지 68호  ,02 715 0075,정상,37.5429776,126.9378623
51,푸른숲 동물병원,서울특별시 마포구 서교동 5번지 2호  ,02-335-7577,정상,37.5573504,126.9092511
57,박효리군 동물병원,서울특별시 마포구 망원동 338번지 76호  ,02-326-0275,정상,37.5528533,126.9065133
58,웰케어동물병원,서울특별시 마포구 서교동 447번지 2호  ,02-338-9916,정상,37.5568369,126.9190588
59,카라동물병원,서울특별시 마포구 서교동 457번지 5호  ,02-6380-0999,정상,37.557673,126.9137408
60,캣&덴탈 하이디 동물병원,서울특별시 마포구 합정동 473번지 마포 한강 2차 푸르지오 ,02-338-0275,정상,37.5510032,126.9118748
61,박창석종합동물병원,서울특별시 마포구 도화동 182번지 6호  ,02-6405-7582,정상,37.5414708,126.9503309
63,동물메디컬센터w,서울특별시 마포구 서교동 444번지 5호  ,02-323-8275,정상,37.5534014,126.9122987
65,동물병원 닥터K,서울특별시 마포구 상암동 115번지 11호  ,02-306-1259,정상,37.5762868,126.8932139
66,워너비 동물병원,서울특별시 마포구 동교동 200번지 29호  ,02-322-1275,정상,37.5576578,126.9225126
67,홍익동물종합병원,서울특별시 마포구 합정동 411번지 18호  ,02-325-2026,정상,37.5480536,126.9183675
68,와우 동물병원,서울특별시 마포구 성산동 200번지 24호  ,02-375-1963,정상,37.56696489999999,126.9097901
70,아이웰 동물의료센터,서울특별시 마포구 염리동 156번지 1호  ,02-2088-1375,정상,37.5461188,126.9452243
71,아프지말게 동물병원,서울특별시 마포구 상암동 1655번지  ,02-307-3355,정상,37.5776394,126.8886338
72,월드펫동물병원,서울특별시 마포구 아현동 331번지 11호  ,02-364-3517,정상,37.556996,126.9533139
74,행복한 동물병원,서울특별시 마포구 성산동 152번지 7호 청화상가 104호 ,02-302-7502,정상,37.5697553,126.9043933
75,동물사랑동물병원,서울특별시 마포구 망원동 378번지 3호  ,02-3142-0008,정상,37.5554034,126.9103354
76,도화동물병원,서울특별시 마포구 도화동 153번지  ,02-712-8875,정상,37.5377789,126.9472518
77,마포 키다리 동물병원,서울특별시 마포구 성산동 22통 4반 청구아파트 102동 201호 ,02-376-7675,정상,37.5652363,126.9158054
78,신촌동물병원,서울특별시 마포구 노고산동 31번지 2호  ,02-718-6280,정상,37.555109,126.937844
79,홍대 아이엠 중성화 진료 수술 센터,서울특별시 마포구 서교동 354번지 8호  ,02-338-2475,정상,37.5540234,126.9205775
80,웨스턴 동물의료센터,서울특별시 마포구 노고산동 952번지 0008호  ,02-701-7580,정상,37.5538162,126.9367619
84,콩닥 동물병원,서울특별시 마포구 공덕동 404번지 풍림브이아이피텔 ,02-6383-0303,정상,37.5461823,126.9522142
86,디엔씨동물병원,서울특별시 마포구 노고산동 1번지 67호  ,02-717-7571,정상,37.556307,126.9426292
87,C.T.종합동물병원,서울특별시 마포구 신공덕동 159번지 신공덕2차 삼성래미안2상가 117호 ,02-6375-0075,정상,37.5463702,126.9580832
88,망원동물종합병원,서울특별시 마포구 망원동 386번지 2호  ,02-332-0175,정상,37.55482689999999,126.9108418
89,셀레네동물병원,서울특별시 마포구 상수동 310번지 1호  ,02-335-5232,정상,37.5478828,126.922737
91,이황 동물병원,서울특별시 마포구 망원동 477번지 3호  ,02-336-0073,정상,37.56075999999999,126.905464
92,서교동물병원,서울특별시 마포구 망원동 415번지 32호  ,02-332-7984,정상,37.5565274,126.9045401
96,이층애 고양이동물병원,서울특별시 마포구 서교동 444번지 5호  ,02-3142-7296,정상,37.5534014,126.9122987
98,산책 동물병원,서울특별시 마포구 구수동 56번지 8호  ,02-715-7575,정상,37.5468293,126.9326383
100,상암동물병원,서울특별시 마포구 상암동 34번지 46호  ,02-375-7222,정상,37.5760165,126.8946625
