"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3120000","20000420","한수24동물병원","0002","폐업","서울특별시 서대문구 북가좌동 278번지 1   호  ","","","20050811","","","","306-8575","0.00","","","0","0","","","",""
"3120000","20000529","햇살동물병원","0002","폐업","서울특별시 서대문구 북가좌동 105번지 4호  ","","","20090526","","","","304-0075","0.00","","","0","0","","","",""
"3120000","20010308","재원동물병원","0002","폐업","서울특별시 서대문구 충정로3가 44번지 1   호  ","","","20090225","","","","364-7575","0.00","","","0","0","","","",""
"3120000","20010808","차지우동물병원","0002","폐업","서울특별시 서대문구 홍제동 90번지 67  호  ","","","20040309","","","","738-7533","0.00","","","0","0","","","",""
"3120000","20030221","예일동물병원","0002","폐업","서울특별시 서대문구 홍은동 409번지 10호  ","","","20031118","","","","303-0604","0.00","","","0","0","","","",""
"3120000","20030224","모래내동물병원","0002","폐업","서울특별시 서대문구 남가좌동 268번지 28  호  ","","","20040131","","","","","0.00","","","0","0","","","",""
"3120000","19890905","모래내동물병원","0002","폐업","서울특별시 서대문구 남가좌동 268번지 28호  ","","","20030204","","","","307-3797","0.00","","","0","0","","","",""
"3120000","19951019","연희동물병원","0002","폐업","서울특별시 서대문구 연희동 134번지 22  호  ","","","20030808","","","","323-2883","0.00","","","0","0","","","",""
"3120000","20051027","예일동물병원","0002","폐업","서울특별시 서대문구 홍은동 409번지 10호  ","","","20100712","","","","","189.46","근린생활시설","철근콘크리트조","0","0","","","",""
"3120000","20021127","홍은동물병원","0002","폐업","서울특별시 서대문구 홍은동 347번지  ","","","20070130","","","","373-7272","0.00","","","0","0","","","",""
"3120000","20031120","예일동물병원","0002","폐업","서울특별시 서대문구 홍은동 409번지 10  호  ","","","20051021","","","","303-0604","189.46","근린생활시설","철근콘크리트조","1","3","","","18000원",""
"3120000","20040218","모래내동물병원","0002","폐업","서울특별시 서대문구 남가좌동 268번지 28  호  ","","","20040827","","","","373-1020","83.27","제2종근린생활시설","철근콘크리트조","1","3","","","",""
"3120000","20040315","러브펫 동물병원","0002","폐업","서울특별시 서대문구 홍제동 90번지 67  호  ","","","20040605","","","","736-5834","52.11","근린생활시설","철근콘크리트조","0","3","","","",""
"3120000","20060330","대화동물병원","0002","폐업","서울특별시 서대문구 남가좌동 334번지 36  호  ","","","20080211","","","","303-0075","100.07","근린생활시설","철근콘크리트조","1","3","","","",""
"3120000","20070910","A+ 동물병원","0002","폐업","서울특별시 서대문구 연희동 135번지 9   호  ","","","","","","","3144-7582","207.75","제2종 근린생활시설","철근콘크리트조","1","4","","","",""
"3120000","20150213","햇살동물병원","0000","정상","서울특별시 서대문구 북가좌동 487번지  ","","","","","","","0262720075","0.00","근린생활시설","철근콘크리트구조","3","6","","","",""
"3120000","20100423","우노동물병원","0002","폐업","서울특별시 서대문구 북아현동 1006번지 경남아파트상가 110호 ","","","20100916","","","","365-4836","0.00","2종근린생활시설","","0","0","","","",""
"3120000","20100924","우노동물병원","0002","폐업","서울특별시 서대문구 북아현동 1006번지 경남아파트상가 110호 ","","","20110408","","","","02-365-4836","0.00","2종 근린생활시설","철근콘크리트","0","12","","","",""
"3120000","20100714","예일동물병원","0002","폐업","서울특별시 서대문구 홍은동 409번지 10호  ","","","20140929","","","","303-0604","0.00","","","0","0","","","",""
"3120000","20131008","양하무역 산업동물병원","0002","폐업","    ","","","20141128","","","","","","","","","","","","",""
"3120000","20000208","하나동물병원","0002","폐업","서울특별시 서대문구 홍제동 279번지 12  호  ","","","20040218","","","","3217-0075","0.00","","","0","0","","","",""
"3120000","20041012","모래내동물병원","0002","폐업","서울특별시 서대문구 남가좌동 268번지 28  호  ","","","20050831","","","","373-1020","260.06","제2종 근린생활시설","철근콘크리트조","1","3","","","",""
"3120000","20050908","모래내동물병원","0002","폐업","서울특별시 서대문구 남가좌동 268번지 28호  ","","","20080728","","","","373-1020","0.00","제2종 근린생활시설","철근콘크리트","4","1","","","",""
"3120000","20030303","서대문아프리카동물병원","0002","폐업","서울특별시 서대문구 홍제동 266번지 234호  ","","","20170421","","","","396-5975","43.50","","","0","1","","","",""
"3120000","20021203","예일동물병원","0002","폐업","서울특별시 서대문구 홍은동 409번지 10  호  ","","","20030219","","","","373-2066","0.00","","","0","0","","","",""
"3120000","19900710","서문동물병원","0002","폐업","서울특별시 서대문구 남가좌동 329번지 27  호  ","","","20061120","","","","309-7574","0.00","","","0","0","","","",""
"3120000","20040409","세란동물병원","0002","폐업","서울특별시 서대문구 북아현동 1006번지 경남아파트상가 110호 ","","","20100413","","","","362-4836","18.60","생활시설","","0","1","","","",""
"3120000","20040421","우리동물병원","0000","정상","서울특별시 서대문구 영천동 299번지  ","","","","","","","393-6675","80.60","점포","","0","5","","","",""
"3120000","20030412","윤선생동물병원","0002","폐업","서울특별시 서대문구 홍은동 366번지 19호 17통 8반  ","","","20170215","","","","379-0075","80.94","근린생활시설","철근콘크리트","1","4","","","1~3종 외(18000원)",""
"3120000","20170519","강앤정 동물병원","0000","정상","서울특별시 서대문구 남가좌동 385번지 DMC파크뷰자이 ","","","","","","","02-305-7505","0.00","","","","","","","",""
"3120000","20151127","어울림동물병원","0000","정상","서울특별시 서대문구 남가좌동 124번지 1호  ","","","","","","","02-305-4242","","","","","","","","",""
"3120000","20180426","에이플러스 동물병원","0000","정상","서울특별시 서대문구 연희동 135번지 9호 내풍빌딩 ","","","","","","","02-3144-7582","214.81","2종근린생활","철근콘크리트조","","3","","","",""
"3120000","20050511","마음을 나누는 동물병원","0000","정상","서울특별시 서대문구 북아현동 136번지 21호 e편한세상신촌 4단지 ","","","","","","","365-7582","0.00","근린생활시설","","1","","","","",""
"3120000","20110922","A+동물병원","0002","폐업","서울특별시 서대문구 연희동 231번지 4호  ","","","20180419","","","","3144-7582","0.00","","","","","","","",""
"3120000","20111018","가재울봉쥬르동물병원","0000","정상","서울특별시 서대문구 북가좌동 304번지 29호  ","","","","","","","02-305-8275","0.00","","","","","","","",""
"3120000","19970212","북아현동물병원","0000","정상","서울특별시 서대문구 북아현동 126번지 12호  ","","","","","","","393-0075","133.04","","근린생할시설(동물병원)","3","0","","","",""
"3120000","20021224","홍제동물병원","0000","정상","서울특별시 서대문구 홍제동 330번지 54호  ","","","","","","","396-5525","0.00","","","0","0","","","",""
"3120000","19940324","가좌동물병원","0000","정상","서울특별시 서대문구 북가좌동 308번지 1호  ","","","","","","","307-4633","0.00","","","0","0","","","",""
"3120000","19960323","인왕동물병원","0002","폐업","서울특별시 서대문구 홍제동 147번지 10호  ","","","20190509","","","","737-5691","0.00","","","0","0","","","",""
"3120000","19970110","한솔동물병원","0000","정상","서울특별시 서대문구 홍제동 103번지 6호  ","","","","","","","737-8375","0.00","","","0","0","","","",""
"3120000","20010628","신영동물병원","0000","정상","서울특별시 서대문구 홍은동 217번지 30호  나호 ","","","","","","","3217-1081","0.00","","","0","0","","","",""
"3120000","20150805","독립문동물병원","0000","정상","서울특별시 서대문구 냉천동 195번지  ","","","","","","","02-733-5060","0.00","제2종근린생활시설","","","2","","","",""
"3120000","20180601","위드 동물병원","0000","정상","서울특별시 서대문구 북가좌동 300번지 2호  ","","","","","","","02-373-7500","92.04","2종근린생활시설","철근콘크리트","","","","","",""
"3120000","20110830","한스동물병원","0000","정상","서울특별시 서대문구 남가좌동 338번지 39호  ","","","","","","","303-1114","0.00","","","","","","","",""
"3120000","19960710","백년동물병원","0000","정상","서울특별시 서대문구 홍은동 398번지 9호  ","","","","","","","373-2923","0.00","","","0","0","","","",""
"3120000","20150604","헬로우동물병원","0000","정상","서울특별시 서대문구 연희동 79번지 12호  ","","","","","","","02-333-7750","0.00","","","","","","","",""
"3120000","20090512","초콜릿종합동물병원","0000","정상","서울특별시 서대문구 북가좌동 333번지 7호  302호 ","","","","","","","307-3335","0.00","2종근린생활시설","","1","3","","","",""
"3120000","20030812","연희동물병원","0000","정상","서울특별시 서대문구 연희동 89번지 9호  ","","","","","","","332-2883","125.27","근린생활시설","철근콘크리트조및블럭조","4","1","","","",""
"3120000","20041206","빛가온동물병원","0000","정상","서울특별시 서대문구 홍제동 90번지 67호  ","","","","","","","739-5834","218.18","근린생활시설","철근콘크리트조","3","1","","","",""
"3120000","20020708","프란다스동물병원","0000","정상","서울특별시 서대문구 남가좌동 381번지  ","","","","","","","309-8275","46.28","동물진료업","철근콘크리트","1","4","","","",""
"3120000","20020419","라파엘종합동물병원","0000","정상","서울특별시 서대문구 연희동 88번지 20호  ","","","","","","","02-333-8632","0.00","","","0","0","","","",""
"3120000","20120515","두리틀동물병원","0000","정상","서울특별시 서대문구 북가좌동 306번지 21호  ","","","","","","","302-3275","0.00","2종근린생활시설(동물병원)","","1","6","","","",""
"3120000","20151209","오즈동물병원","0000","정상","서울특별시 서대문구 남가좌동 369번지 10호  ","","","","","","","02-305-5975","0.00","","근린생활시설","","","","","",""
