"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3210000","20060915","쿨펫동물병원","0002","폐업","서울특별시 서초구 반포동 19번지 3   호 BPC 101-4 ","","","20080811","","","","3477-7578","48.00","","","1","0","","","",""
"3210000","20060419","바이오-벳","0002","폐업","서울특별시 서초구 서초동 1431번지 6호  ","","","20150116","","","","584-5990","40.94","","","0","0","","","",""
"3210000","20060329","스누피동물병원","0002","폐업","서울특별시 서초구 잠원동 53번지 현대(아)상가 107호 ","","","20110104","","","","596-7975","45.57","","","0","0","","","",""
"3210000","20050128","잠원동물병원","0002","폐업","서울특별시 서초구 잠원동 60번지 3호 매일상가 223호 ","","","20140423","","","","3478-1045","18.00","","","0","2","","","",""
"3210000","20040401","잠원동물병원","0002","폐업","서울특별시 서초구 잠원동 60번지 3호 매일종합상가 223호 ","","","20050126","","","","","18.00","근린생활시설","철근콘크리트","0","2","","","",""
"3210000","20030813","(주)펫프렌즈 반포동물병원","0002","폐업","서울특별시 서초구 반포동 1050번지 J동 15호 ","","","20040401","","","","","0.00","","","0","0","","","",""
"3210000","20040528","엔터펫동물병원","0002","폐업","서울특별시 서초구 서초동 1536번지 1호 지상1층 ","","","20060117","","","","02-583-7545","190.00","근린생활시설","철골조","0","1","","","",""
"3210000","20040409","서울동물병원","0002","폐업","서울특별시 서초구 서초동 1532번지 7호 (지상1층) ","","","20140502","","","","02-587-7582","38.40","근린생활시설","철근콘트리트연와조","0","0","","","",""
"3210000","20000626","마이펫동물병원","0002","폐업","서울특별시 서초구 반포동 93번지 2호 1층 가호 ","","","20080429","","","","591-1181","83.70","","","0","0","","","",""
"3210000","20011217","강남동물병원","0002","폐업","서울특별시 서초구 반포동 737번지 10호 지상1층 ","","","20050429","","","","543-6007","0.00","","","0","1","","","",""
"3210000","20041007","21세기동물병원","0002","폐업","서울특별시 서초구 반포동 738번지 2호 지상1층 ","","","20080930","","","","3442-1613","58.00","","","0","1","","","",""
"3210000","20040115","21세기동물병원","0002","폐업","서울특별시 서초구 반포동 738번지 2   호  ","","","20041005","","","","","157.62","근린생활시설","철근콘크리트","1","2","","","",""
"3210000","20040207","닥터캣연구원 동물병원","0002","폐업","서울특별시 서초구 서초동 1593번지 7호 이오빌1505호 ","","","20070103","","","","3473-6943","60.00","근린생활시설","콘크리트","0","0","","","",""
"3210000","20031017","두코동물병원","0002","폐업","서울특별시 서초구 반포동 733번지 14  호  ","","","20031212","","","","","804.80","근린생활시설","철근콘크리트","1","0","","","",""
"3210000","20031113","한강동물병원서초점","0002","폐업","서울특별시 서초구 서초동 1487번지 1호 문화빌딩 101호 ","","","20051229","","","","585-0087","48.40","","","0","0","","","",""
"3210000","20020619","삼호동물병원","0002","폐업","서울특별시 서초구 방배동 758번지 2호 삼호상가 109호 ","","","20070711","","","","592-3012","33.75","","","0","0","","","",""
"3210000","20051209","우성메디펫동물병원","0002","폐업","서울특별시 서초구 서초동 1336번지 서초우성쇼핑센타120호121호 ","","","20161230","","","","5867505","30.00","근린생활시설","철근콘크리트","0","1","","","동물병원개설신고",""
"3210000","20030226","24시열린동물병원","0002","폐업","서울특별시 서초구 서초동 1576번지 6호 1층 ","","","20080318","","","","523-8275","97.24","근린생활시설","","0","0","","","",""
