,업소명,사업장소재지(지번),전화번호,영업상태,lat,lng
17,성동동물종합병원,서울특별시 성동구 성수동2가 300번지 69호  ,02-467-5656,정상,37.5457681,127.0528674
19,해치동물병원,서울특별시 성동구 응봉동 100번지  308호 ,02-535-0975,정상,37.5515893,127.0330269
20,기린동물병원,서울특별시 성동구 마장동 791번지 9호  ,02-2291-8275,정상,37.5656229,127.0427489
21,SL동물병원,서울특별시 성동구 도선동 285번지 2호 1층 ,02-2299-8575,정상,37.5632647,127.032335
26,바른동물병원,서울특별시 성동구 금호동4가 800번지 금호동대우아파트 상가동 206호 ,02-2297-7570,정상,37.5460658,127.0199938
27,24시LC동물의료센터,서울특별시 성동구 용답동 74번지 2호  ,02-3394-7530,정상,37.5664017,127.0527262
28,오석헌동물병원,서울특별시 성동구 옥수동 561번지 래미안옥수리버젠 상가동 420호 ,02-6402-0301,정상,37.5451492,127.0141611
29,24시센트럴동물메디컬센터,서울특별시 성동구 행당동 318번지 36호  ,02-3395-7975,정상,37.5586363,127.0336885
30,옥수수 동물병원,서울특별시 성동구 옥수동 560번지 어울림상가 213호 ,02-2291-7582,정상,37.5421774,127.0181052
33,서울숲동물병원,서울특별시 성동구 성수동2가 333번지 3호 1층 ,02-466-2475,정상,37.541567,127.0534629
35,라임동물병원,서울특별시 성동구 홍익동 398번지 2호  ,02-2281-8122,정상,37.5654682,127.0303086
36,제인동물병원,서울특별시 성동구 성수동2가 339번지 23호  ,02-468-7582,정상,37.5389889,127.0547093
37,한양동물메디컬센터,서울특별시 성동구 행당동 226번지 3호  ,02-2281-5200,정상,37.5596166,127.0369899
38,바우라움동물병원,서울특별시 성동구 행당동 155번지 1호 서울숲 더샵 상가 4층 ,0264546182,정상,37.5569482,127.0403161
39,한빛동물병원,서울특별시 성동구 금호동2가 433번지  ,02-2233-1848,정상,37.5539581,127.0193664
40,신당햇살동물병원,서울특별시 성동구 금호동1가 132번지 18호 1층 ,02-2299-4696,정상,37.557557,127.0243876
41,다온동물병원,서울특별시 성동구 하왕십리동 1070번지 센트라스 ,02-2039-7572,정상,37.5665059,127.0264404
42,성수동물병원,서울특별시 성동구 성수동1가 656번지 565호  ,02-463-9690,정상,37.5464199,127.0448606
43,아지동물병원,서울특별시 성동구 금호동4가 1108번지 지상1층 ,02-6085-7750,정상,37.5479925,127.0210255
44,펫365동물병원,서울특별시 성동구 금호동4가 1338번지 10통 4반 현대ESA아파트 910호 ,2282-3653,정상,37.5452268,127.025308
45,평화와생명동물병원,서울특별시 성동구 행당동 346번지 한진노변상가 110호 ,02-3395-0075,정상,37.5555573,127.0289482
46,포레동물병원,서울특별시 성동구 성수동1가 22번지 28호 1층 ,02-468-7975,정상,37.5435938,127.0491606
47,수동물병원,서울특별시 성동구 송정동 79번지 2호  ,0234094640,정상,37.548461,127.0672136
48,함께하는동물병원,서울특별시 성동구 옥수동 263번지 1호  ,02-2299-3283,정상,37.54298259999999,127.0131122
50,이윤세동물병원,서울특별시 성동구 행당동 346번지 한진노변상가 109호 ,02-2282-7503,정상,37.5555573,127.0289482
51,금호동물병원,서울특별시 성동구 금호동2가 1217번지 래미안하이리버 상가동 비201호 ,0222810049,정상,37.551463,127.025425
52,달링동물병원,서울특별시 성동구 성수동1가 718번지 트리마제 ,02-466-8215,정상,37.5513348,127.0469504
53,스테이동물병원,서울특별시 성동구 옥수동 528번지 이편한세상옥수파크힐스 ,02-2282-7501,정상,37.5459364,127.0109409
54,왕십리조은동물병원,서울특별시 성동구 하왕십리동 892번지 4호  ,02-2297-0075,정상,37.5645427,127.0278756
55,오렌지동물병원,서울특별시 성동구 행당동 322번지 100호  ,02-2297-7582,정상,37.55600099999999,127.0339353
56,텐즈힐링동물병원,서울특별시 성동구 상왕십리동 811번지 텐즈힐몰 221동 134호 ,02-2295-0975,정상,37.570505,127.023535
