"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3070000","20000905","베스트종합동물병원","0002","폐업","서울특별시 성북구 동소문동3가 32번지  ","","","20180402","","","","","0.00","","","0","0","","","",""
"3070000","19770405","정릉동물병원","0002","폐업","서울특별시 성북구 정릉동 416번지 10호  ","","","20070817","","","","914-5545","23.10","근린생활","","0","2","","","",""
"3070000","20000110","이솝동물병원","0002","폐업","서울특별시 성북구 정릉동 285번지 3   호  ","","","20040501","","","","","0.00","","","0","0","","","",""
"3070000","20010203","북악동물병원","0002","폐업","서울특별시 성북구 정릉동 1393번지 0   호  ","","","20070604","","","","941-7800","0.00","","","0","0","","","",""
"3070000","20010514","청솔동물병원","0002","폐업","서울특별시 성북구 종암동 68번지 1   호  ","","","20040304","","","","929-1212","0.00","","","0","0","","","",""
"3070000","20030901","포유동물병원","0002","폐업","서울특별시 성북구 하월곡동 60번지 110 호  ","","","20050202","","","","02-912-6555","40.00","근생생활시설","철근코크리트","4","1","","","제4종",""
"3070000","19801006","보문동물병원","0002","폐업","서울특별시 성북구 보문동2가 130번지  ","","","20031007","","","","","0.00","","","0","0","","","",""
"3070000","20031111","은혜동물병원","0002","폐업","서울특별시 성북구 석관동 268번지 11  호  ","","","20070328","","","","967-3693","48.30","점포","철근콘크리트","0","0","","","",""
"3070000","20061010","애플동물병원","0002","폐업","서울특별시 성북구 길음동 1282번지 길음뉴타운 2차상가 1-5호 ","","","20081020","","","","909-2522","24.20","근린생활시설","","0","1","","","",""
"3070000","20040105","씨네동물병원","0002","폐업","서울특별시 성북구 동선동5가 154번지  ","","","20060407","","","","","53.75","","","1","1","","","",""
"3070000","20041125","비비펫동물병원","0002","폐업","서울특별시 성북구 하월곡동 16번지 7호  ","","","20070626","","","","02-912-0018","100.32","점포","철근콘크리트","1","3","","","",""
"3070000","20040309","애니동물병원","0002","폐업","서울특별시 성북구 보문동5가 3번지 1   호  ","","","20081125","","","","02-926-8275","33.48","근린생활시설","철근콘크리트조","6","1","","","",""
