"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3230000","20000121","더독동물병원","0002","폐업","서울특별시 송파구 가락동 190번지  ","","","20040402","","","","400-3644","0.00","근생","","0","1","","","",""
"3230000","20020114","올림픽동물병원","0002","폐업","서울특별시 송파구 방이동 89번지 5호 G상가105호 ","","","20030213","","","","4004633","0.00","","","0","1","","","",""
"3230000","20010305","방이동물병원","0002","폐업","서울특별시 송파구 방이동 136번지 13호  ","","","20070809","","","","416-8875","47.79","근생","","0","1","","","",""
"3230000","19990830","LA종합동물병원","0002","폐업","서울특별시 송파구 송파동 97번지 14 호  ","","","20010110","","","","4243662","0.00","근생","","0","1","","","",""
"3230000","20030605","패미페츠동물병원","0002","폐업","서울특별시 송파구 방이동 114번지 5호  ","","","20030605","","","","","0.00","","","0","2","","","",""
"3230000","20030610","(주)패미페츠동물병원","0002","폐업","서울특별시 송파구 방이동 114번지 5  호 1.2층 ","","","20031204","","","","413-7119","0.00","","","0","0","","","",""
"3230000","20120202","잠실VIP동물병원","0002","폐업","    ","","","20150214","","","","3431-6007","44.22","","","","","","","",""
"3230000","20110208","24시송파서울동물병원","0002","폐업","    ","","","20120718","","","","","0.00","2종생활근린시설","","0","0","","","",""
"3230000","20020501","늘푸른동물병원","0000","정상","서울특별시 송파구 오금동 17번지 2호 우일빌딩 ","","","","","","","449-0101","0.00","","","0","1","","","",""
"3230000","20030730","(주)한국동물임상연구소","0002","폐업","서울특별시 송파구 송파동 143번지 7호  ","","","20120917","","","","420-8133","0.00","","","0","2","","","",""
"3230000","20111116","아미동물병원","0002","폐업","    ","","","20171121","","","","4120098","0.00","근린생활시설","철근콘크리트조","","1","","","",""
"3230000","20090603","솔로몬동물병원","0002","폐업","    ","","","20190207","","","","430-5353","55.13","","","0","0","","","",""
"3230000","20011105","강남종합동물병원","0002","폐업","    ","","","20110628","","","","416-8070","0.00","근린시설","","0","1","","","",""
"3230000","20000515","Di.J동물병원","0002","폐업","서울특별시 송파구 석촌동 184번지 8호  ","","","20020724","","","","2202-3633","0.00","근생","","0","1","","","",""
"3230000","20110701","강남종합동물병원","0002","폐업","서울특별시 송파구 송파동 135번지 8호  ","","","20150302","","","","416-8070","0.00","","","","","","","",""
"3230000","19900511","거여가축병원","0002","폐업","서울특별시 송파구 오금동 129번지 12호  ","","","20011010","","","","4006294","0.00","","","0","1","","","",""
"3230000","20010529","건국동물병원","0002","폐업","서울특별시 송파구 삼전동 48번지 10호  ","","","20080110","","","","419-8275","0.00","","","0","1","","","",""
"3230000","20080822","로잔동물병원","0002","폐업","서울특별시 송파구 석촌동 1번지 1호 신동아로쟌뷰 1층(114호) ","","","20120130","","","","3431-6007","0.00","철근콘크리트","","0","0","","","",""
"3230000","20110715","더 동물병원","0002","폐업","서울특별시 송파구 가락동 193번지 3호 광성빌딩106호 ","","","20170624","","","","431-7575","36.75","근린생활시설","","","","","","",""
"3230000","20010209","동물의왕국","0002","폐업","서울특별시 송파구 마천동 35번지  ","","","20020208","","","","406-4814","0.00","근생","","0","1","","","",""
"3230000","20090424","내사랑 동물병원","0002","폐업","서울특별시 송파구 가락동 137번지 3호  102호 ","","","20091124","","","","443-2222","0.00","","","0","0","","","",""
"3230000","20000304","동물의왕국","0002","폐업","서울특별시 송파구 마천동 35번지  ","","","20010205","","","","406-4814","0.00","근생","","0","1","","","",""
"3230000","20001025","25시동물병원","0002","폐업","서울특별시 송파구 삼전동 5번지 3호  ","","","20020918","","","","2202-9915","0.00","근생","","0","1","","","",""
"3230000","20030214","오즈동물병원","0002","폐업","    ","","","20121018","","","","400-4633","0.00","","","0","1","","","",""
"3230000","19980918","다사랑동물병원","0002","폐업","서울특별시 송파구 마천동 211번지 45호  ","","","20020412","","","","449-8575","0.00","근생","","0","1","","","",""
"3230000","20150717","위즈펫동물병원 잠실점","0002","폐업","    ","","","20160122","","","","","0.00","상가(근생)","","1","","","","",""
"3230000","20000228","밍키종합동물병원","0002","폐업","서울특별시 송파구 가락동 49번지 3호  ","","","20010131","","","","449-4617","0.00","근생","","0","1","","","",""
"3230000","20020506","메디칼동물병원","0002","폐업","서울특별시 송파구 가락동 137번지 3호  ","","","20081126","","","","449-7580","0.00","","","0","1","","","",""
"3230000","20100203","참 동물병원","0002","폐업","    ","","","20170305","","","","422-7773","0.00","","","0","0","","","",""
"3230000","20120319","청담동물병원","0002","폐업","    ","","","20150630","","","","4730577","28.39","","","","","","","",""
"3230000","20040821","서울동물병원","0002","폐업","서울특별시 송파구 문정동 11번지 8호 지상1층 ","","","20090219","","","","3401-7588","70.00","근린생활시설","철근콘크리트조","1","0","","","",""
"3230000","20070605","러브펫동물병원","0002","폐업","서울특별시 송파구 송파동 164번지 10호 지상1층 ","","","20111128","","","","424-0425","0.00","","","0","1","","","",""
"3230000","20000427","엄마손동물병원","0002","폐업","서울특별시 송파구 석촌동 252번지 2호  ","","","20010116","","","","419-2611","0.00","근생","","0","1","","","",""
"3230000","20010215","엄마손동물병원","0002","폐업","서울특별시 송파구 석촌동 252번지 2호  ","","","20150526","","","","419-2611","0.00","근생","","0","1","","","",""
"3230000","20050506","사랑가득동물병원","0002","폐업","서울특별시 송파구 송파동 162번지 삼성레미안(아)상가 101동 106호 ","","","20061211","","","","","0.00","","","0","1","","","",""
"3230000","19980227","훼미리동물병원","0002","폐업","서울특별시 송파구 가락동 101번지 1호  ","","","20020315","","","","4047582","0.00","근생","","0","1","","","",""
"3230000","20020318","훼밀리동물병원","0002","폐업","서울특별시 송파구 가락동 101번지 1호  ","","","20021111","","","","4047582","0.00","","","0","1","","","",""
"3230000","20020508","팔라스동물병원","0002","폐업","서울특별시 송파구 잠실동 228번지 10호  ","","","20111116","","","","412-0098","0.00","","","0","1","","","",""
"3230000","20071130","레인보우동물병원","0002","폐업","서울특별시 송파구 방이동 136번지 13호 지상1층 ","","","20080929","","","","413-6676","27.00","","","0","1","","","",""
"3230000","20120106","이동훈동물병원","0002","폐업","    ","","","20130313","","","","4156279","0.00","","","","","","","",""
"3230000","20051026","로잔동물병원","0002","폐업","서울특별시 송파구 석촌동 1번지 1호 신동아로잔뷰 상가 114호 ","","","20080820","","","","3431-6007","0.00","","","0","1","","","",""
"3230000","19990916","로데오24종합동물병원","0002","폐업","서울특별시 송파구 문정동 31번지  ","","","20050414","","","","443-9229","0.00","근생","","0","1","","","",""
"3230000","19940707","박경호동물병원","0002","폐업","서울특별시 송파구 방이동 35번지 9호  ","","","20180724","","","","418-8611","0.00","근생","","0","1","","","",""
"3230000","20000401","박형우동물병원","0002","폐업","서울특별시 송파구 풍납동 504번지 1호  ","","","20040604","","","","484-4063","0.00","","","0","1","","","",""
"3230000","20130717","에이스종합동물병원","0002","폐업","    ","","","20160824","","","","424-7588","10829.64","제2종근린생활시설 외 5","철근콘크리트조","3","5","","","",""
"3230000","20071101","해밀동물병원","0002","폐업","    ","","","20140731","","","","430-7585","36.37","","","0","1","","","",""
"3230000","19980518","박형우종합동물병원","0002","폐업","서울특별시 송파구 풍납동 504번지 1호  ","","","20000329","","","","4888275","0.00","근생","","0","1","","","",""
"3230000","20010706","봄빛동물병원","0002","폐업","서울특별시 송파구 가락동 125번지 8호  ","","","20110706","","","","400-7582","0.00","","","0","1","","","",""
"3230000","20110701","서울동물의료원","0002","폐업","서울특별시 송파구 삼전동 7번지 6호 지상1층 ","","","20180501","","","","2202-3515","0.00","","","","","","","",""
"3230000","20000612","메디텍코리아","0002","폐업","서울특별시 송파구 오금동 78번지 6호  ","","","20000915","","","","408-8422","0.00","","","0","1","","","",""
"3230000","20021016","메디펫동물병원","0002","폐업","서울특별시 송파구 마천동 576번지 우방아파트상가 ","","","20090320","","","","449-8575","0.00","","","0","1","","","",""
"3230000","19980507","문정종합동물병원","0002","폐업","서울특별시 송파구 가락동 193번지 3호  ","","","20000303","","","","4317575","0.00","근생","","0","1","","","",""
"3230000","20000428","문정종합동물병원","0002","폐업","서울특별시 송파구 가락동 193번지 3호  ","","","20110701","","","","431-7575","0.00","근생","","0","1","","","",""
"3230000","19990708","밍키종합동물병원","0002","폐업","서울특별시 송파구 가락동 49번지 3호  ","","","20000229","","","","4030222","0.00","점포","","0","1","","","",""
"3230000","20050124","오륜동물병원","0002","폐업","서울특별시 송파구 방이동 212번지 19호 지상1층 ","","","20111209","","","","412-5657","0.00","","","0","1","","","",""
"3230000","20000124","서광VETLAB","0002","폐업","서울특별시 송파구 송파동 143번지 7호  ","","","20011119","","","","420-8133","0.00","","","0","1","","","",""
"3230000","19880910","사랑의동물병원","0002","폐업","서울특별시 송파구 삼전동 49번지  ","","","20160318","","","","419-0430","0.00","","","0","1","","","",""
"3230000","20010215","밍키종합동물병원","0002","폐업","서울특별시 송파구 가락동 49번지 3호  ","","","20071005","","","","403-0222","0.00","근생","","0","1","","","",""
"3230000","20030425","바울동물병원","0002","폐업","서울특별시 송파구 송파동 89번지 4호  ","","","20040309","","","","416-0126","33.00","","","0","0","","","",""
"3230000","19960725","서울동물병원","0002","폐업","서울특별시 송파구 삼전동 7번지 6호  ","","","20000404","","","","22023515","0.00","근생","","0","1","","","",""
"3230000","20000406","서울동물의료원","0002","폐업","서울특별시 송파구 삼전동 7번지 6호  ","","","20001018","","","","2202-3515","0.00","근생","","0","1","","","",""
"3230000","20031209","(주)패미프랜동물병원","0002","폐업","    ","","","20041213","","","","413-7119","0.00","","","0","2","","","",""
"3230000","20070803","해뜨는 동물병원","0002","폐업","    ","","","20160731","","","","430-7972","40.79","","","0","1","","","",""
"3230000","19971204","천호동물병원","0000","정상","서울특별시 송파구 풍납동 480번지 2호  ","","","","","","","02-473-6900","0.00","근생","","0","1","","","",""
"3230000","20141008","펫가든동물병원 월드타워점","0002","폐업","    ","","","20180930","","","","02-3213-2798","0.00","","","","","","","",""
"3230000","20091130","꿈이 크는 동물병원","0002","폐업","    ","","","20141215","","","","420-7580","67.96","철근콘크리트조","","0","0","","","",""
"3230000","20030410","늘푸른동물병원","0002","폐업","    ","","","20150331","","","","423-2075","33.40","","","0","2","","","",""
"3230000","19971030","25시동물병원","0002","폐업","    ","","","20000722","","","","4191351","0.00","근생","","0","1","","","",""
"3230000","20020726","닥터제이동물병원","0002","폐업","    ","","","20170403","","","","2202-3633","0.00","","","0","1","","","",""
"3230000","20040603","서울동물의료원","0002","폐업","서울특별시 송파구 삼전동 7번지 6호 지하1지상1층 ","","","20110628","","","","2202-3515","0.00","근생","","0","1","","","",""
"3230000","20120712","하군이네 동물병원","0002","폐업","    ","","","20181227","","","","3401-7582","0.00","","","","","","","",""
"3230000","20090219","서울동물병원","0002","폐업","서울특별시 송파구 문정동 11번지 8호 지상2층 ","","","20110131","","","","3401-7588","70.00","근린생활시설","철근콘크리트조","0","1","","","",""
"3230000","19931206","석촌동물병원","0002","폐업","서울특별시 송파구 석촌동 272번지 24호  ","","","20020423","","","","4170280","0.00","근생","","0","1","","","",""
"3230000","20071002","송파원동물병원","0002","폐업","서울특별시 송파구 송파동 135번지 2호 지상1층 ","","","20170822","","","","419-7571","60.13","","","0","1","","","",""
"3230000","20080421","신천 동물병원","0002","폐업","    ","","","20180212","","","","420-0975","53.77","","","0","1","","","",""
"3230000","20090423","알프스 동물병원","0002","폐업","서울특별시 송파구 잠실동 19번지 9호  2A12호 ","","","20100407","","","","02-565-7582","0.00","","","0","0","","","",""
"3230000","19870910","애니종합동물병원","0002","폐업","서울특별시 송파구 풍납동 257번지 95호  ","","","20091022","","","","473-0577","0.00","근린상가","","0","1","","","",""
"3230000","19981221","엄마손동물병원","0002","폐업","서울특별시 송파구 석촌동 252번지 2호  ","","","20000419","","","","4192611","0.00","근생","","0","1","","","",""
