"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3140000","19940812","강성동물병원","0002","폐업","서울특별시 양천구 신월동 64번지 1   호  ","","","20120808","","","","692-7283","0.00","","","0","0","","","",""
"3140000","19960128","대현동물병원","0002","폐업","서울특별시 양천구 목동 506번지 7호  ","","","20081107","","","","2651-1855","0.00","","","0","1","","","",""
"3140000","19970110","애완동물병원","0002","폐업","서울특별시 양천구 목동 788번지 13  호  ","","","20060203","","","","654-7345","0.00","","","0","1","","","",""
"3140000","20010404","바우동물병원","0002","폐업","서울특별시 양천구 신정동 1052번지 3호  ","","","20030415","","","","2643-8204","0.00","","","0","1","","","",""
"3140000","20020502","닥터펫 동물병원","0002","폐업","서울특별시 양천구 목동 919번지 7호 한국까르프 1층 ","","","20030414","","","","2643-0283","0.00","","","0","0","","","",""
"3140000","20020607","메디펫종합 동물병원","0002","폐업","서울특별시 양천구 목동 405번지 280호  ","","","20060222","","","","2648-7997","0.00","","","0","0","","","",""
"3140000","20030219","이지동물병원","0002","폐업","서울특별시 양천구 신정동 88번지 27호  ","","","20080801","","","","2642-5994","41.10","","","0","0","","","",""
"3140000","20030422","닥터펫 동물병원","0002","폐업","서울특별시 양천구 목동 919번지 7   호 한국까르프 1층 ","","","20030701","","","","","0.00","","","0","0","","","",""
"3140000","20130716","오라고동물병원","0000","정상","서울특별시 양천구 목동 603번지 2호 대우마이빌 102호 ","","","","","","","2643-7579","57.86","제2종근린생활시설 동물병원","","","","","","",""
"3140000","20130405","가스펠동물병원","0002","폐업","서울특별시 양천구 신월동 116번지 14호  ","","","20180503","","","","2694-9550","76.00","제2종근린생활시설 동물병원 ","","","","","","",""
"3140000","20130129","푸른들동물병원","0002","폐업","서울특별시 양천구 신정동 1267번지 목동뉴프라자 112113호 ","","","20181219","","","","2699-1222","97.32","제2종근린생활시설 동물병원","철근콘크리트","","","","","",""
"3140000","20030424","토론토 동물병원","0000","정상","서울특별시 양천구 목동 657번지 21호 등촌빌딩 ","","","","","","","2642-8653","52.50","","","0","1","","","",""
"3140000","20020511","애니케어동물병원","0000","정상","서울특별시 양천구 신월동 502번지 5호  ","","","","","","","2601-8275","0.00","","","0","0","","","",""
"3140000","20060216","펫서비스동물병원","0002","폐업","서울특별시 양천구 신정동 151번지 20호  ","","","20070412","","","","2654-7345","52.00","근린생활시설","철근콘크리트구조","1","2","","주유소 인접","",""
"3140000","20030814","하릅강아지 동물병원","0002","폐업","서울특별시 양천구 신정동 1267번지 뉴목동프라자 113호 ","","","20031118","","","","","0.00","","","0","0","","","",""
"3140000","20040630","행복한 동물병원","0002","폐업","서울특별시 양천구 목동 515번지 1호  ","","","20060317","","","","2655-2258","51.10","","","0","0","","","",""
