"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3180000","20030502","프랜드동물병원","0002","폐업","서울특별시 영등포구 영등포동8가 76번지 1호 삼환아파트상가 114호 ","","","20140818","","","","2675-0883","84.00","생활편익시설","","0","1","","","",""
"3180000","20050728","현대 동물병원","0002","폐업","서울특별시 영등포구 양평동1가 31번지 9호  ","","","20150817","","","","2634-7577","78.20","근린생활시설","제4종미관지구","0","3","","","",""
"3180000","20020326","한국동물병원","0000","정상","서울특별시 영등포구 신길동 829번지 1호  ","","","","","","","847-6759","28.20","","","0","0","","","",""
"3180000","20021121","성모종합동물병원","0002","폐업","서울특별시 영등포구 대림동 979번지 13호  ","","","20061025","","","","842-0075","100.00","","","0","0","","","",""
"3180000","20030307","여의도동물병원","0002","폐업","서울특별시 영등포구 여의도동 41번지 2호 대교A상가 113호 ","","","20131226","","","","761-7580","30.71","","","0","1","","","",""
"3180000","20060203","마루동물병원","0002","폐업","서울특별시 영등포구 문래동3가 55번지 5   호 로데오왁상가105호 ","","","20180730","","","","2637-7500","67.48","근린생활시설","","1","0","","","",""
"3180000","20040302","문래동물병원","0002","폐업","서울특별시 영등포구 문래동3가 94번지 현대홈타운상가 109호 ","","","20080520","","","","2672-2592","0.00","","","0","0","","","",""
"3180000","20040528","당산동물병원","0002","폐업","서울특별시 영등포구 당산동6가 216번지 5   호  ","","","20100827","","","","02-2676-7582","68.87","근린생활시설","철근콘크리트","1","4","","","",""
"3180000","19990426","토론토동물병원","0002","폐업","서울특별시 영등포구 당산동6가 3번지 12  호  ","","","20050613","","","","2635-7582","60.00","","","0","0","","","",""
"3180000","20010828","초이동물병원","0002","폐업","서울특별시 영등포구 대림동 740번지 2   호  ","","","20060119","","","","832-0081","42.00","","","0","0","","","",""
"3180000","20010820","두암동물병원","0002","폐업","서울특별시 영등포구 대림동 710번지 14호  ","","","20170601","","","","846-4597","36.05","","","0","0","","","",""
"3180000","20031122","삼성동물병원","0002","폐업","서울특별시 영등포구 문래동3가 54번지 LG상가 202호 ","","","20051121","","","","2672-1317","27.45","근린생활시설","","0","2","","","",""
"3180000","20131226","여의도동물병원대교점","0002","폐업","서울특별시 영등포구 여의도동 41번지 2호 대교A상가 113호 ","","","20151007","","","","027617580","29.16","","","","1","","","",""
"3180000","20060120","초이동물병원","0002","폐업","서울특별시 영등포구 대림동 740번지 2호  ","","","20100720","","","","832-0081","0.00","","","0","0","","","",""
"3180000","20021205","조은동물병원","0002","폐업","서울특별시 영등포구 대림동 978번지 19호  ","","","20120116","","","","831-0075","32.30","","","0","0","","","",""
"3180000","20090401","아프리카 동물병원","0002","폐업","서울특별시 영등포구 대림동 979번지 3호  ","","","20150930","","","","833-8275","0.00","","","0","0","","","",""
"3180000","20091006","수 동물병원","0002","폐업","서울특별시 영등포구 신길동 214번지 55  호  ","","","20100422","","","","845-0780","0.00","제2종근린생활시설","","0","3","","","",""
"3180000","20060830","영등포동물병원","0002","폐업","서울특별시 영등포구 당산동1가 348번지  ","","","20130115","","","","2633-9991","0.00","","","0","0","","","",""
"3180000","20100816","Dr.홍 동물병원","0002","폐업","서울특별시 영등포구 문래동6가 5번지 2호  105호 ","","","20141112","","","","2068-7558","0.00","","","0","0","","","",""
"3180000","20011011","우리동물병원","0002","폐업","서울특별시 영등포구 여의도동 54번지 6호 영창빌딩 202-1호 ","","","20130423","","","","3775-3757","62.27","","","0","0","","","",""
"3180000","19881114","대림동물병원","0002","폐업","서울특별시 영등포구 신길동 4662번지  ","","","20161121","","","","845-3368","66.43","","","0","0","","","",""
"3180000","20130816","미소로동물병원","0002","폐업","서울특별시 영등포구 영등포동8가 72번지 1층 107호 ","","","20140214","","","","","71.82","","","","1","","","",""
"3180000","20100623","유석동물병원","0000","정상","서울특별시 영등포구 신길동 4824번지  ","","","","","","","833-7554","0.00","","","0","0","","","",""
"3180000","20131128","여의도동물병원은하점","0002","폐업","서울특별시 영등포구 여의도동 53번지 3호 은하빌딩 4층 ","","","20151007","","","","027837580","207.60","","","","4","","","4종",""
"3180000","20090916","(주)러브펫동물병원","0002","폐업","서울특별시 영등포구 영등포동4가 442번지 타임스퀘어 지하1층 (B102) ","","","20190729","","","","02-2634-8275","0.00","근린생활시설","","1","0","","","",""
"3180000","20050616","토론토동물병원","0002","폐업","서울특별시 영등포구 당산동6가 3번지 12호  ","","","20100423","","","","2635-7582","75.35","근린생활시설","","0","0","","","",""
"3180000","20120223","왈츠동물병원","0000","정상","서울특별시 영등포구 대림동 776번지 2호  ","","","","","","","02-834-7582","99.00","","","","1","","","",""
