"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3020000","20060824","칼리스동물병원","0002","폐업","서울특별시 용산구 이촌동 301번지 162호 현대상가 라동 102호 ","","","20070126","","","","790-2344","32.04","근린생활시설","철근콘크리트","0","1","","","",""
"3020000","20040527","한스동물병원","0002","폐업","서울특별시 용산구 한남동 72번지 1호 한남리첸시아 비동 117호 ","","","20150605","","","","6375-8275","3760.00","근린생활시설","철근콘크리트","18","1","","","",""
"3020000","20051206","차오름동물병원","0002","폐업","서울특별시 용산구 산천동 93번지 1호  ","","","20110817","","","","706-7975","64.68","소매점","연와조","1","3","일반주거지역","아파트 주변지역","동물병원개설",""
"3020000","20051230","이상윤동물병원","0002","폐업","서울특별시 용산구 이촌동 300번지 23호  ","","","20110314","","","","02-792-5455","48.36","점포","철근콘크리트","0","1","","","",""
"3020000","20060113","이촌종합동물병원","0002","폐업","서울특별시 용산구 이촌동 300번지 26호 한강맨션 21동106-1호 ","","","20150515","","","","797-5300","49.42","점포","철근콘크리트","0","1","","가로변 상가","",""
"3020000","20041007","펫프렌즈동물병원","0002","폐업","서울특별시 용산구 한강로3가 40번지 999호 (지하2층 이마트내) ","","","20110428","","","","2012-1256","0.00","판매시설","","2","0","","","",""
"3020000","20050222","칼리S 동물병원","0002","폐업","서울특별시 용산구 이촌동 301번지 162 호 현대상가 라동 ","","","20050513","","","","790-2344","32.04","근린생활시설","철근콘크리트","0","1","","","",""
"3020000","20021227","이상윤동물병원","0002","폐업","서울특별시 용산구 이촌동 300번지 26  호 한강아파트상가 21동 106호 ","","","20051212","","","","792-5455","0.00","","","0","0","","","",""
"3020000","20021227","펫토이동물병원","0002","폐업","서울특별시 용산구 한남동 653번지 26  호  ","","","20030520","","","","796-1021","0.00","","","0","0","","","",""
"3020000","20021227","한사랑동물병원","0002","폐업","서울특별시 용산구 용산동2가 45번지 7   호  ","","","20030801","","","","749-8275","0.00","","","0","0","","","",""
"3020000","20021227","세하동물병원","0002","폐업","서울특별시 용산구 한남동 29번지 14  호  ","","","20051226","","","","749-1433","0.00","","","0","0","","","",""
"3020000","20021230","ANYPET동물병원","0002","폐업","서울특별시 용산구 이태원동 662번지  ","","","20101217","","","","790-0475","0.00","","","0","0","","","",""
"3020000","20021230","퍼피119동물병원","0002","폐업","서울특별시 용산구 원효로2가 4번지 45  호  ","","","20070604","","","","713-0075","0.00","","","0","0","","","",""
"3020000","20021216","갤러리동물병원","0002","폐업","서울특별시 용산구 이태원동 226번지 7호  ","","","20021216","","","","796-5008","0.00","","","0","0","","","",""
"3020000","20030103","갤러리동물병원","0002","폐업","서울특별시 용산구 이태원동 226번지 7호  ","","","20030929","","","","797-2254","1.00","","","0","1","","","",""
"3020000","20031014","갤러리동물병원","0002","폐업","서울특별시 용산구 이태원동 226번지 7호  ","","","20060908","","","","","0.00","","","0","0","","","",""
"3020000","20080205","쿨펫동물병원","0002","폐업","서울특별시 용산구 한강로3가 40번지 999호 용산아이파크몰 4층 ","","","20090102","","","","02-2012-3875","84.00","대규모점포","철골","0","4","","","",""
"3020000","20071129","후암동물병원","0002","폐업","서울특별시 용산구 후암동 415번지 37호 블럭 ","","","20080527","","","","3789-0075","26.00","점포","블럭","3","1","","","",""
"3020000","20090108","쿨펫동물병원","0002","폐업","서울특별시 용산구 한강로3가 40번지 999호 아이파크몰 문화과4층 ","","","20101206","","","","2012-3875","84.02","","","0","0","","","",""
"3020000","20021223","이태원동물병원","0002","폐업","서울특별시 용산구 이태원동 531번지  ","","","","","","","794-4945","0.00","","","0","1","","","",""
"3020000","20110504","펫프렌즈동물병원용산점","0002","폐업","서울특별시 용산구 한강로3가 40번지 999호 (지하2층) ","","","","","","","2012-1256","75.35","","","2","","","","",""
"3020000","20120514","펫프렌즈동물병원용산점","0002","폐업","서울특별시 용산구 한강로3가 40번지 999호 지하2층 ","","","20150106","","","","2012-1256","","","","","","","","",""
"3020000","20021230","성심동물병원","0002","폐업","서울특별시 용산구 보광동 265번지 961호  ","","","20030214","","","","794-7588","0.00","","","0","0","","","",""
"3020000","20030304","성심동물병원","0002","폐업","서울특별시 용산구 보광동 265번지 961호  ","","","20030801","","","","794-7588","0.00","","","0","0","","","",""
"3020000","20070111","갤러리동물병원","0002","폐업","서울특별시 용산구 이태원동 226번지 7호 불럭 ","","","20100721","","","","796-5008","13.75","근린생활시설(상가)","","3","1","","","",""
"3020000","20030521","펫토이동물병원","0002","폐업","서울특별시 용산구 한남동 653번지 26  호  ","","","20050224","","","","710-1021","494.00","근린생활시설","철근콘크리트","4","1","","","",""
"3020000","20101209","쿨펫동물병원","0002","폐업","서울특별시 용산구 한강로3가 40번지 999호 아이파크몰 문화관 4층 ","","","20110930","","","","2012-3875","84.04","","","0","0","","","",""
"3020000","20041112","칼라S종합동물병원","0002","폐업","서울특별시 용산구 이촌동 301162번지 현대상가 라 동 ","","","20050221","","","","","512.00","근생","","1","1","","","",""
"3020000","20050228","펫토이 동물병원","0002","폐업","서울특별시 용산구 한남동 653번지 26  호  ","","","20051013","","","","795-2184","12.50","근린생활시절","철근콘크리트조","1","4","","","",""
"3020000","20021223","청화동물병원","0002","폐업","서울특별시 용산구 이태원동 21번지 1   호  ","","","20050624","","","","792-7602","1.00","","","0","1","","","",""
"3020000","20021230","용마종합동물병원","0002","폐업","서울특별시 용산구 원효로1가 23번지 3   호  ","","","20080630","","","","724-4882","0.00","","","0","0","","","",""
"3020000","20130723","심 동물병원","0002","폐업","서울특별시 용산구 이태원동 64번지 56호  ","","","20140508","","","","790-9775","104.43","근린생활시설","","","2","","","",""
"3020000","20150106","펫세상 동물병원","0002","폐업","서울특별시 용산구 한강로3가 40번지 999호  ","","","20180514","","","","02-2012-1256","","","","2","","","","",""
"3020000","20021227","구림동물병원","0002","폐업","서울특별시 용산구 이촌동 301번지 151호 로얄상가106호 ","","","20031210","","","","795-8608","0.00","","","0","0","","","",""
"3020000","20030804","성심동물병원","0002","폐업","서울특별시 용산구 보광동 265번지 961호  ","","","20031022","","","","794-7588","0.00","","","0","0","","","",""
"3020000","20050513","칼리스 동물병원","0002","폐업","서울특별시 용산구 이촌동 301번지 162 호 현대상가 라-102 ","","","20060823","","","","02-790-2344","32.02","상가","철근콘크리트1","1","1","","","",""
"3020000","20021227","보광동물병원","0002","폐업","서울특별시 용산구 보광동 80번지 11호  ","","","","","","","790-9808","0.00","","","0","0","","","",""
"3020000","20110930","러브펫동물병원","0002","폐업","서울특별시 용산구 한강로3가 40번지 999호 2통 5반 아이파크몰 패션관 ","","","20171011","","","","2012-3875","245.54","","","5","","","","",""
"3020000","20021223","효창동물병원","0000","정상","서울특별시 용산구 효창동 70번지 11호  ","","","","","","","711-4527","0.00","","","0","1","","","",""
"3020000","20021230","원효종합동물병원","0000","정상","서울특별시 용산구 원효로2가 30번지 4호  ","","","","","","","719-7070","0.00","","","0","0","","","",""
"3020000","20161021","바다동물병원(Bada Animal Hospital)","0000","정상","서울특별시 용산구 용산동5가 24번지 파크타워 지하1층 비21호 ","","","","","","","02-792-2561","48.00","","","1","","","","",""
"3020000","20161215","24시 시유동물메디컬센터","0000","정상","서울특별시 용산구 이촌동 302번지 88호 지상1층 101호 ","","","","","","","02-793-0075","248.47","","","","","","","",""
"3020000","20180514","펫세상동물병원","0000","정상","서울특별시 용산구 한강로3가 40번지 999호 이마트 지하2층 ","","","","","","","02-2012-1256","69.40","","","","","","","",""
"3020000","20110315","(주)이상윤동물병원","0000","정상","서울특별시 용산구 이촌동 300번지 23호 한강맨션상가 105호 ","","","","","","","792-5455","119.42","","","0","0","","","",""
"3020000","20170308","베이동물병원","0000","정상","서울특별시 용산구 이촌동 300번지 23호 한강맨션 11동 102호 ","","","","","","","02-749-7588","40.51","","철근콘크리트","","5","","","",""
"3020000","20130506","동물병원 메이","0000","정상","서울특별시 용산구 한남동 657번지 121호 지상2층 ","","","","","","","02-797-4408","321.89","근린생활시설","연와조","1","2","","","",""
"3020000","20131028","퍼스동물병원","0000","정상","서울특별시 용산구 용산동2가 45번지 1호 106호 ","","","","","","","02-790-7508","42.75","","","","","","","",""
"3020000","20090501","라온동물병원","0000","정상","서울특별시 용산구 이태원동 225번지 93호  ","","","","","","","792-7585","0.00","근린생활시설","","0","0","","","",""
"3020000","20101029","아프리카동물병원","0000","정상","서울특별시 용산구 후암동 244번지 11호  ","","","","","","","773-1119","74.43","","","0","0","","","",""
"3020000","20120102","달래동물병원","0000","정상","서울특별시 용산구 한남동 66번지 4호 지상12층 ","","","","","","","794-1255","151.10","","","","","","","",""
"3020000","20120307","민트동물병원","0000","정상","서울특별시 용산구 산천동 202번지 삼성테마트 119호 ","","","","","","","707-2235","94.77","","","","","","","",""
"3020000","20050624","청화종합동물병원","0000","정상","서울특별시 용산구 이태원동 21번지 1호 태광빌딩 1층 ","","","","","","","792-7602","107.50","점포","철근콘크리트","0","1","","","",""
