"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3110000","20110405","사랑이가득한동물병원","0002","폐업","서울특별시 은평구 대조동 231번지 0호 101동 122호 ","","","20120531","","","","387-7582","0.00","주상복합상가","철근콘크리트","0","0","일반주거지역","","",""
"3110000","20050329","튼튼동물병원","0002","폐업","서울특별시 은평구 역촌동 43번지 17호  ","","","20071207","","","","355-8575","287.25","근린생활시설및 주택","철근콘크리트구조 연와조","1","4","","","",""
"3110000","20041025","예스플러스 동물병원","0002","폐업","서울특별시 은평구 녹번동 117번지 88호  ","","","20091015","","","","354-5633","681.66","점포사무실","철근콘크리트구조","1","3","","","",""
"3110000","20041104","은평동물병원(은평본원)","0002","폐업","서울특별시 은평구 대조동 179번지 16호  ","","","20070614","","","","358-7566","384.84","근린생활시설","철근콘크리트구조","1","2","","","",""
"3110000","20031029","참사랑동물병원","0002","폐업","서울특별시 은평구 응암동 598번지 5호 1층 ","","","20061226","","","","","88.00","근생","철근콘크리트구조","1","4","","상가","",""
"3110000","20040213","패미원동물병원","0002","폐업","서울특별시 은평구 대조동 187번지 38호 (1층) ","","","20110330","","","","387-0075","999.50","근생","철근콘크리트조","1","4","","","",""
"3110000","20040218","에이스동물병원","0002","폐업","서울특별시 은평구 갈현동 495번지 22  호  ","","","20080731","","","","359-4975","371.17","점포","세멘벽돌조","1","3","","","",""
"3110000","20040514","해오름동물병원","0002","폐업","서울특별시 은평구 응암동 96번지 19호  ","","","20090424","","","","02-352-6328","540.83","점포","","1","3","","","",""
"3110000","20000802","신동물병원","0002","폐업","서울특별시 은평구 증산동 168번지 2   호  ","","","20101010","","","","376-7001","0.00","","","0","0","","","",""
"3110000","20011102","유종합동물병원","0002","폐업","서울특별시 은평구 대조동 231번지 삼성타운 101-122 ","","","20070321","","","","387-7582","0.00","","","0","0","","","",""
"3110000","20020904","영규동물병원","0002","폐업","서울특별시 은평구 역촌동 59번지 26  호  ","","","20050620","","","","389-3357","0.00","","","0","0","","","",""
"3110000","20030407","독도동물병원","0002","폐업","서울특별시 은평구 응암동 17번지 1   호  ","","","20040715","","","","382-7844","0.00","","","0","0","","","",""
"3110000","19750823","수색동물병원","0002","폐업","서울특별시 은평구 수색동 376번지 5   호  ","","","20080731","","","","372-8472","0.00","","","0","0","","","",""
"3110000","19870420","갈현동물병원","0002","폐업","서울특별시 은평구 갈현동 391번지 40  호  ","","","20050912","","","","385-1350","0.00","","","0","0","","","",""
"3110000","19990121","역촌동물병원","0002","폐업","서울특별시 은평구 응암동 111번지 15  호  ","","","20040922","","","","355-6105","0.00","","","0","0","","","",""
"3110000","20070321","사랑가득동물병원","0002","폐업","서울특별시 은평구 대조동 231번지 삼성타운 101동 122호 ","","","20110401","","","","387-7582","0.00","제2종근린생활시설","철근콘크리트구조","0","0","","","",""
"3110000","20070619","참조은동물병원","0002","폐업","서울특별시 은평구 녹번동 141번지 61  호  ","","","20101011","","","","383-7566","780.68","근생","연와조","1","4","","","",""
"3110000","20071115","드림펫동물병원","0002","폐업","서울특별시 은평구 대조동 187번지 14호 2층 ","","","20080807","","","","384-7775","0.00","근생","","0","0","","","",""
"3110000","20021224","한마음동물병원","0000","정상","서울특별시 은평구 신사동 9번지 34호  ","","","","","","","355-7931","0.00","","","0","0","","","",""
"3110000","20010702","더독동물병원","0000","정상","서울특별시 은평구 대조동 224번지 24호  ","","","","","","","382-3243","0.00","","","0","0","","","",""
"3110000","20090130","한빛동물병원","0002","폐업","서울특별시 은평구 진관동 5번지  629동 116호 ","","","20100302","","","","382-7511","0.00","제2종근생","","0","0","","","",""
"3110000","20091016","예스동물병원","0002","폐업","서울특별시 은평구 녹번동 117번지 88호  ","","","20190306","","","","354-5633","0.00","","","0","0","","","",""
"3110000","20091126","펫프렌즈동물병원 은평","0002","폐업","서울특별시 은평구 응암동 90번지 1   호 이마트 8층 ","","","20100518","","","","356-3375","0.00","판매시설","","0","0","","","",""
"3110000","20040608","메디펫동물병원","0000","정상","서울특별시 은평구 갈현동 394번지 27호  ","","","","","","","02-384-0075","878.89","점포","철근콘크리트","1","3","","","",""
"3110000","20100519","펫프렌즈동물병원 은평","0002","폐업","서울특별시 은평구 응암동 90번지 1호 이마트 8층 ","","","20110906","","","","356-3375","0.00","","","0","0","","","",""
"3110000","20110719","뉴타운동물병원","0002","폐업","서울특별시 은평구 진관동 20번지 0호 은평뉴타운상림마을 821동 101호 ","","","20120618","","","","385-8275","75.18","근린생활시설","철근콘크리트","","","","","",""
"3110000","20111103","쿨펫 동물병원","0002","폐업","서울특별시 은평구 대조동 240번지 NC백화점 8층 ","","","20161202","","","","350-7272","","","","","","","","",""
"3110000","19950623","한얼동물병원","0000","정상","서울특별시 은평구 응암동 576번지 25호  ","","","","","","","304-5553","0.00","","","0","0","","","",""
"3110000","19960506","녹번동물병원","0000","정상","서울특별시 은평구 녹번동 117번지 112호  ","","","","","","","354-4110","0.00","","","0","0","","","",""
"3110000","20020528","은평동물병원","0002","폐업","서울특별시 은평구 대조동 179번지 16호  ","","","20050404","","","","382-7566","0.00","","","0","0","","","",""
"3110000","20130627","튼튼동물병원","0002","폐업","서울특별시 은평구 역촌동 43번지 47호  ","","","20150707","","","","02-355-8575","56.61","근린생활시설 및 주택","철근콘크리트 구조","1","4","","","",""
"3110000","20130710","역촌동물병원","0002","폐업","서울특별시 은평구 역촌동 14번지 22호  ","","","20140124","","","","02-6338-7142","33.00","제2종근린생활시설","철근콘크리트구조","1","2","","","",""
"3110000","19900306","불광동물병원","0000","정상","서울특별시 은평구 불광동 274번지 10호  ","","","","","","","356-1656","0.00","근린생활시설","","0","0","","","",""
"3110000","20070627","쿨펫동물병원","0002","폐업","서울특별시 은평구 대조동 240번지 2001 아울렛 7층 ","","","20090402","","","","350-7272","0.00","1.2종근생","","0","0","","","",""
"3110000","20081126","이강신동물병원","0002","폐업","서울특별시 은평구 증산동 162번지 20호  ","","","20150327","","","","307-7502","0.00","제2종근생","","0","0","","","",""
"3110000","20080813","드림펫동물병원","0002","폐업","서울특별시 은평구 대조동 188번지 1   호  ","","","20090511","","","","384-7775","0.00","","","0","0","","","",""
"3110000","20030314","한마음동물병원","0002","폐업","서울특별시 은평구 수색동 산 31번지 3   호 진흥(아)상가1층 ","","","20070618","","","","376-7588","0.00","","","0","0","","","",""
"3110000","19970120","예종합동물","0002","폐업","서울특별시 은평구 신사동 335번지 7   호  ","","","20080125","","","","302-9998","0.00","","","0","0","","","",""
"3110000","20050707","멍이맘동물병원","0002","폐업","서울특별시 은평구 증산동 162번지 20  호 상가 102호 ","","","20081124","","","","307-7502","67.66","근린생활시설","철근콘크리트구조","0","1","","","",""
"3110000","20080331","허브종합동물병원","0002","폐업","서울특별시 은평구 신사동 24번지 59  호  ","","","20090626","","","","376-7584","0.00","제2종근생","","0","0","","","",""
