"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3000000","19750506","홍수의과병원","0002","폐업","서울특별시 종로구 연건동 188번지  ","","","20130307","","","","","0.00","","","0","0","","","",""
"3000000","20040908","평창동물병원","0002","폐업","서울특별시 종로구 평창동 289번지 2호  ","","","20070226","","","","3216-7582","26.29","점포","세면벽돌조","0","1","","","",""
"3000000","20060327","올리브동물병원","0000","정상","서울특별시 종로구 홍지동 126번지 8호  ","","","","","","","3917502","0.00","2종근린생활시설","철근콘크리트","0","2","","","",""
"3000000","20011211","해동물병원","0000","정상","서울특별시 종로구 창신동 80번지 1호  ","","","","","","","","0.00","","","0","0","","","",""
"3000000","20130311","독립문동물병원","0002","폐업","서울특별시 종로구 무악동  ","","","20151021","","","","733-5060","0.00","근린생활시설","근린생활시설","5","1","","","",""
"3000000","20130304","효자동물병원","0002","폐업","서울특별시 종로구 효자동 31번지  ","","","20181030","","","","732-3827","0.00","","","0","0","","","",""
"3000000","20010604","효자동물병원","0001","휴업","서울특별시 종로구 효자동 31번지  ","","","","","","","732-3827","0.00","","","0","0","","","",""
"3000000","20090708","누리봄동물병원","0000","정상","서울특별시 종로구 내자동 125번지 3호  ","","","","","","","02-735-7530","45.00","근린생활시설","연와조","0","1","","","",""
"3000000","19950811","평화동물병원","0002","폐업","서울특별시 종로구 평창동 289번지 2   호  ","","","20040807","","","","","20.30","","","0","1","","","",""
"3000000","20130304","효자동물병원","0001","휴업","서울특별시 종로구 효자동 31번지  ","","","","","","","732-3827","0.00","","동물병원 / 근린생활시설(영업용)","","0","","","",""
"3000000","20010604","효자동물병원","0004","말소","서울특별시 종로구 효자동 31번지  ","","","","","","","732-3827","0.00","","","0","0","","","",""
"3000000","20130304","효자동물병원","0001","휴업","서울특별시 종로구 효자동 31번지  ","","","","","","","7323827","0.00","","","0","0","","","",""
"3000000","20010604","효자동물병원","0001","휴업","서울특별시 종로구 효자동 31번지  ","","","","","","","732-3827","0.00","","","0","0","","","",""
"3000000","20080306","우리동물병원","0000","정상","서울특별시 종로구 숭인동 52번지 8호  ","","","","","","","3676-1190","42.58","제2종근린생활시설","","0","2","","","종로제2008-1호",""
"3000000","20051024","성현동물병원","0002","폐업","서울특별시 종로구 명륜1가 135번지 한신1차아파트4-1506 ","","","20170704","","","","764-0075","196.00","근린생활시설","","0","0","","","",""
"3000000","20070323","평창동물병원","0002","폐업","서울특별시 종로구 평창동 402번지 17호 14통 2반 세방테크빌 504호 ","","","20170723","","","","3216-7582","22.21","제2종근린생활시설(동물병원)","","0","2","","","",""
"3000000","20160211","광화문동물병원","0000","정상","서울특별시 종로구 효자동 31번지  ","","","","","","","722-8275","0.00","","","","","","","",""
"3000000","20171116","경희궁 바른 동물병원","0000","정상","서울특별시 종로구 홍파동 42번지 13호 경희궁자이 2단지 상가동 2229호 ","","","","","","","","0.00","동물병원","","","2","","","",""
"3000000","19990423","월드펫동물병원","0000","정상","서울특별시 종로구 신영동 1번지 11호  ","","","","","","","379-7575","0.00","","","0","0","","","",""
"3000000","20130514","월드펫동물병원","0004","말소","서울특별시 종로구 신영동 249번지 6호  ","","","","","","","379-7575","0.00","","","0","0","","","",""
"3000000","19950905","대학로동물병원","0000","정상","서울특별시 종로구 명륜2가 5번지 99호 1통 3반 방산빌라 402호 ","","","","","","","3672-8441","53.70","","","0","0","","","",""
"3000000","20021025","북악동물병원","0000","정상","서울특별시 종로구 홍지동 127번지 7호 5통 5반 지층 3호 ","","","","","","","391-4575","46.22","","","0","0","","","",""
