"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3010000","20030117","제일동물병원","0002","폐업","서울특별시 중구 충무로4가 95번지 1   호 일우빌딩 202호 ","","","20040726","","","","2266-6686","1003.67","점포 사무실","철근콘크리트","1","6","","상가","4-029",""
"3010000","20030905","Zoo동물병원","0002","폐업","서울특별시 중구 필동2가 37번지 10  호 구인빌딩 1층 ","","","20060315","","","","02-2266-7156","1394.05","사무실주택","철근콘크리트조","1","5","제2종일반주거지역일반상업지역","","",""
"3010000","20050303","행복한둥지동물병원","0002","폐업","서울특별시 중구 신당동 422번지 1   호 청화빌딩 지하1층 ","","","20060403","","","","2235-1533","210.00","동물병원","철근콘크리트","0","0","","상업지역","",""
"3010000","20040126","충정동물병원","0002","폐업","서울특별시 중구 중림동 200번지 삼성사이버빌리지 상가 2동 1층 103-1호 ","","","20050415","","","","","77.37","생활편익시설","철근콘크리트조","1","2","제3종일반주거지역","주택 및 상가","",""
"3010000","20020830","청구동물병원","0002","폐업","서울특별시 중구 신당동 294번지 63호  ","","","20090803","","","","2231-9388","0.00","","","0","0","","","제4종",""
"3010000","19981207","동국동물병원","0002","폐업","서울특별시 중구 충무로5가 76번지 2호  ","","","20080103","","","","2263-8388","0.00","","","0","0","","","",""
"3010000","20000526","푸른약수동물병원","0002","폐업","서울특별시 중구 신당동 36번지 93호  ","","","20040520","","","","2234-7582","0.00","","","0","0","","","제4종",""
"3010000","20160104","올댓동물병원","0002","폐업","서울특별시 중구 신당동 432번지 90호  ","","","20180904","","","","02-742-6021","14.96","제2종근린생활시설","철근콘크리트","3","3","","","",""
"3010000","19750930","문화동물병원","0002","폐업","서울특별시 중구 신당동 370번지 58호  ","","","20040117","","","","2238-6306","0.00","","","0","0","","","제4종",""
"3010000","20110630","백슬동물병원","0000","정상","서울특별시 중구 만리동2가 288번지 서울역한라비발디센트럴 ","","","","","","","02-393-7588","0.00","","","","","","","4호",""
"3010000","20190327","한국양봉농협 동물병원","0000","정상","서울특별시 중구 신당동 309번지 50호 한국양봉농협 본점 ","","","","","","","02-2210-2539","223.60","제2종 근린생활시설(동물병원)","철근콘크리트","1","6","","","4종 029-01호",""
"3010000","20150204","그녀의 동물병원","0000","정상","서울특별시 중구 신당동 844번지 남산타운 ","","","","","","","02-2237-7582","117.26","제2종근린생활시설","철근콘크리트구조","1","3","","","",""
"3010000","20160211","바른동물병원","0000","정상","서울특별시 중구 황학동 2523번지 황학 아크로타워 ","","","","","","","02-2232-7975","67.91","근린생활시설","","6","20","","","4종",""
"3010000","20040514","차지우동물병원","0000","정상","서울특별시 중구 신당동 422번지 1호 청화빌딩 ","","","","","","","2237-7533","517.93","근린생활시설 업무시설","철근콘크리트조","2","6","준주거지역","","",""
"3010000","20011226","미래지동물의료센터","0000","정상","서울특별시 중구 신당동 368번지 19호  ","","","","","","","2233-7574","242.41","철골조","제2종근린생활시설","","2","","","",""
"3010000","20020810","남산동물병원","0000","정상","서울특별시 중구 신당동 844번지 남산타운 ","","","","","","","2256-8275","0.00","","","0","0","","","제4종",""
"3010000","19920212","바우미우동물병원","0000","정상","서울특별시 중구 신당동 336번지 3호 명덕빌딩 ","","","","","","","2237-3366","306.00","철근콘크리트","1종근린생활시설","7","1","제3종일반거주지역","","제4종",""
"3010000","19900925","윤신근박사동물병원","0000","정상","서울특별시 중구 필동2가 53번지  ","","","","","","","2274-8558","0.00","","","0","0","","","제4종",""
"3010000","20130925","웰니스 클리닉(청계천점)","0002","폐업","서울특별시 중구 황학동 2545번지 롯데캐슬베네치아 ","","","20190630","","","","070-8868-7585","0.00","","","","","","","",""
"3010000","19950512","황동물병원","0000","정상","서울특별시 중구 묵정동 32번지 1호  ","","","","","","","2278-0075","0.00","","","0","0","","","제4종",""
"3010000","20190513","메종동물병원","0000","정상","서울특별시 중구 신당동 102번지 6호  ","","","","","","","02-2038-7555","91.00","근린생활시설","철근콘크리트","1","8","준주거지역 외 1","","",""
"3010000","19950802","대한동물병원","0000","정상","서울특별시 중구 충무로4가 93번지 1호  ","","","","","","","2263-6134","0.00","","","0","0","","","제4종",""
"3010000","20140620","좋아요 동물병원","0000","정상","서울특별시 중구 신당동 44번지 17호  ","","","","","","","02-2233-6675","44.77","","","1","4","","","",""
"3010000","20110330","웰펫동물병원","0000","정상","서울특별시 중구 신당동 373번지 64호  ","","","","","","","2256-7582","46.20","근린생활시설","","0","0","","","",""
"3010000","20190801","헬릭스동물메디컬센터","0000","정상","서울특별시 중구 을지로5가 133번지 1호 뉴천지관광호텔 ","","","","","","","02-6956-7502","","","","","","","","",""
"3010000","20190801","헬릭스동물암센터","0000","정상","서울특별시 중구 을지로5가 133번지 1호 뉴천지관광호텔 ","","","","","","","02-6956-7502","","","","","","","","",""
"3010000","20190801","헬릭스동물심장수술센터","0000","정상","서울특별시 중구 을지로5가 133번지 1호 뉴천지관광호텔 ","","","","","","","02-6965-7502","0.00","","","","","","","",""
"3010000","20190620","웰니스클리닉(청계천점)","0000","정상","서울특별시 중구 황학동 2545번지 롯데캐슬베네치아 ","","","","","","","02-2234-7585","56.94","","","","","","","",""
"3010000","20190401","애니컴 메디컬센터","0000","정상","서울특별시 중구 신당동 353번지 130호  ","","","","","","","02-2232-9702","144.00","근린생활시설","철근콘크리트","1","5","","","",""
