"시군구코드","신고일자","업소명","영업상태코드","영업상태","사업장소재지(지번)","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3060000","20040226","하나동물병원","0002","폐업","서울특별시 중랑구 면목동 166번지 44  호  ","","","20050314","","","","2208-7540","0.00","","","0","0","","","",""
"3060000","20060414","해피데이동물병원","0002","폐업","서울특별시 중랑구 상봉동 268번지 37호  ","","","20100507","","","","494-5575","0.00","","","0","0","","","",""
"3060000","20060501","다음동물병원","0002","폐업","서울특별시 중랑구 면목동 67번지 4호  ","","","20061016","","","","2207-7500","0.00","","","0","0","","","",""
"3060000","20050617","하나동물병원","0002","폐업","서울특별시 중랑구 면목동 166번지 44  호  ","","","20070703","","","","2208-7540","0.00","","","0","0","","","",""
"3060000","20050707","진영동물병원","0002","폐업","서울특별시 중랑구 면목동 153번지 33호  ","","","20060112","","","","2207-9181","0.00","","","0","0","","","",""
"3060000","20050303","제일동물병원","0002","폐업","서울특별시 중랑구 면목동 353번지 25  호  ","","","20051205","","","","","0.00","","","0","0","","","",""
"3060000","20050314","하나동물병원","0002","폐업","서울특별시 중랑구 면목동 166번지 44  호  ","","","20050615","","","","2208-7540","33.12","","","0","0","","","",""
"3060000","19980226","비비펫동물병원","0002","폐업","서울특별시 중랑구 신내동 648번지 143호  ","","","20050923","","","","3421-4900","0.00","","","0","0","","","",""
"3060000","20010303","제일동물병원","0002","폐업","서울특별시 중랑구 면목동 353번지 25  호  ","","","20031006","","","","","0.00","","","0","0","","","",""
"3060000","20010502","협동가축진료소","0002","폐업","서울특별시 중랑구 상봉동 137번지 1   호  ","","","20031101","","","","434-5403","0.00","","","0","0","","","",""
"3060000","20021017","하나동물병원","0002","폐업","서울특별시 중랑구 면목동 166번지 44  호  ","","","20040226","","","","2208-7540","0.00","","","0","0","","","",""
"3060000","20030926","비비펫동물병원","0002","폐업","서울특별시 중랑구 신내동 648번지 143 호  ","","","20040130","","","","3421-4242","0.00","","","0","0","","","",""
"3060000","20021203","로얄메디컬센터","0002","폐업","서울특별시 중랑구 중화동 207번지  ","","","20080618","","","","2208-7533","0.00","","","0","0","","","",""
"3060000","20031118","제일동물병원","0002","폐업","서울특별시 중랑구 면목동 353번지 25호  ","","","20050218","","","","2207-9931","56.00","","","0","0","","","",""
"3060000","20070704","칸동물병원","0002","폐업","서울특별시 중랑구 면목동 166번지 44  호  ","","","20121123","","","","2208-7540","0.00","","","0","0","","","",""
"3060000","20020219","행복이있는동물병원","0002","폐업","서울특별시 중랑구 신내동 405번지 5호 1층 B동 ","","","20141128","","","","433-3387","0.00","","","0","0","","","",""
"3060000","20030204","세진종합동물병원","0002","폐업","서울특별시 중랑구 망우동 490번지 7   호  ","","","20060222","","","","","0.00","","","0","0","","","",""
"3060000","20040106","우리들동물병원","0002","폐업","서울특별시 중랑구 면목동 144번지 24호  ","","","20080212","","","","491-1865","65.32","","","0","0","","","",""
"3060000","19961112","동부제일동물병원","0002","폐업","서울특별시 중랑구 상봉동 118번지 8호  ","","","20190121","","","","434-3700","0.00","","","0","0","","","",""
"3060000","19911130","태능동물병원","0000","정상","서울특별시 중랑구 묵동 175번지 2호 3층 ","","","","","","","973-1953","153.50","","의원","0","0","","","",""
"3060000","20141107","도그플러스 동물병원","0000","정상","서울특별시 중랑구 신내동 645번지 홈플러스 2층 ","","","","","","","3421-9075","","판매시설","","","","","","",""
"3060000","20141203","행복이 있는 동물병원","0000","정상","서울특별시 중랑구 신내동 405번지 5호  ","","","","","","","02-433-3387","","","","","","","","",""
"3060000","20131119","닥터 아이펫 동물병원","0000","정상","서울특별시 중랑구 상봉동 99번지 10호  ","","","","","","","2208-0329","0.00","","","","","","","",""
"3060000","20000721","신내동물병원","0000","정상","서울특별시 중랑구 중화동 11번지 36호 삼일시티빌 1층 ","","","","","","","3422-0001","0.00","","","0","0","","","",""
"3060000","20060104","주연동물병원","0000","정상","서울특별시 중랑구 면목동 353번지 25호  ","","","","","","","2207-9931","0.00","","","0","0","","","",""
"3060000","20021203","24시 동물응급의료센터","0000","정상","서울특별시 중랑구 중화동 207번지 지하1층 ","","","","","","","2208-7233","0.00","","","0","0","","","",""
"3060000","19970317","홍상희동물병원","0000","정상","서울특별시 중랑구 묵동 239번지 76호  ","","","","","","","974-0339","95.40","","","0","0","","","",""
"3060000","20031112","진영동물병원","0002","폐업","서울특별시 중랑구 면목동 153번지 33  호  ","","","20060112","","","","2207-9181","56.00","","","0","0","","","",""
"3060000","20060801","진영동물병원","0002","폐업","서울특별시 중랑구 면목동 153번지 33  호  ","","","20070820","","","","2207-9181","0.00","","","0","0","","","",""
"3060000","20070822","진영동물병원","0002","폐업","서울특별시 중랑구 면목동 153번지 33  호  ","","","20080903","","","","2207-9181","0.00","","","0","0","","","",""
"3060000","20101027","한국동물메디컬센터(KAMC)","0000","정상","서울특별시 중랑구 면목동 119번지 10호 12층 ","","","","","","","2208-6788","128.48","동물병원","","4","1","","","",""
"3060000","20050325","쥬라기동물병원","0000","정상","서울특별시 중랑구 신내동 646번지 금강리빙스텔 119호 ","","","","","","","3421-7588","0.00","","","0","0","","","",""
"3060000","20160421","보담동물병원","0000","정상","서울특별시 중랑구 면목동 17번지 31호  ","","","","","","","02-494-7775","","","","","","","","",""
"3060000","20161102","동물수술전문센터","0002","폐업","서울특별시 중랑구 중화동 207번지  ","","","20161122","","","","02-6215-3439","198.00","","","","","","","",""
"3060000","19941203","중랑차동물병원","0002","폐업","서울특별시 중랑구 상봉동 137번지 16호  ","","","20180627","","","","433-0787","40.50","","","0","0","","","",""
"3060000","20170518","한국동물영상의학센터","0000","정상","서울특별시 중랑구 중화동 207번지 6호  ","","","","","","","02-6215-3416","128.57","","","","","","","",""
"3060000","20090408","면목동물병원","0000","정상","서울특별시 중랑구 면목동 606번지 6호  ","","","","","","","437-7579","83.00","근린생활시설","철근콘크리트","0","1","","","",""
"3060000","20030528","서울우유협동조합유우진료소","0000","정상","서울특별시 중랑구 상봉동 137번지 7호  ","","","","","","","2094-8344","0.00","","","0","0","","","3060000-010-2003-0002",""
